sensor,concentracion,Error,TR+,M,D_r
scd30,800ppm,37.72054054054047,3.7581833333333337,762.4594594594595,800.18
sen0220,800ppm,3.486666666666679,1.5303333333333335,803.6666666666666,800.18
s8lp,800ppm,27.704297520661157,1.7477666666666667,827.8842975206611,800.18
cjmcu811,800ppm,3105.88,13.08125,3906.06,800.18
t3022,800ppm,55.395342465753515,8.950933333333333,855.5753424657535,800.18
