ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 15:42:02.370,,,,646.0,
2021-07-26 15:42:02.879,650.0,,,,
2021-07-26 15:42:03.498,,607.0,,,
2021-07-26 15:42:04.199,,,,,2687.0
2021-07-26 15:42:07.877,668.0,,,,
2021-07-26 15:42:10.068,,636.0,,,
2021-07-26 15:42:10.215,,,,,2728.0
2021-07-26 15:42:10.563,,,,659.0,
2021-07-26 15:42:12.868,680.0,,,,
2021-07-26 15:42:16.226,,,,,2791.0
2021-07-26 15:42:17.864,687.0,,,,
2021-07-26 15:42:18.755,,,,665.0,
2021-07-26 15:42:22.231,,,,,2886.0
2021-07-26 15:42:22.862,700.0,,,,
2021-07-26 15:42:23.188,,677.0,,,
2021-07-26 15:42:26.949,,,,670.0,
2021-07-26 15:42:27.854,712.0,,,,
2021-07-26 15:42:28.242,,,,,2886.0
2021-07-26 15:42:29.749,,693.0,,,
2021-07-26 15:42:32.849,722.0,,,,
2021-07-26 15:42:34.255,,,,,2909.0
2021-07-26 15:42:35.142,,,,670.0,
2021-07-26 15:42:36.318,,701.0,,,
2021-07-26 15:42:37.844,733.0,,,,
2021-07-26 15:42:40.267,,,,,2990.0
2021-07-26 15:42:42.839,746.0,,,,
2021-07-26 15:42:42.878,,710.0,,,
2021-07-26 15:42:43.334,,,,672.0,
2021-07-26 15:42:46.280,,,,,3060.0
2021-07-26 15:42:47.832,752.0,,,,
2021-07-26 15:42:49.438,,716.0,,,
2021-07-26 15:42:51.527,,,,673.0,
2021-07-26 15:42:52.295,,,,,3120.0
2021-07-26 15:42:52.828,752.0,,,,
2021-07-26 15:42:55.999,,720.0,,,
2021-07-26 15:42:57.827,752.0,,,,
2021-07-26 15:42:58.309,,,,,3156.0
2021-07-26 15:42:59.723,,,,672.0,
2021-07-26 15:43:02.559,,723.0,,,
2021-07-26 15:43:02.817,750.0,,,,
2021-07-26 15:43:04.325,,,,,3235.0
2021-07-26 15:43:07.810,751.0,,,,
2021-07-26 15:43:07.913,,,,675.0,
2021-07-26 15:43:09.118,,726.0,,,
2021-07-26 15:43:10.338,,,,,3322.0
2021-07-26 15:43:12.807,754.0,,,,
2021-07-26 15:43:15.678,,727.0,,,
2021-07-26 15:43:16.109,,,,677.0,
2021-07-26 15:43:16.351,,,,,3322.0
2021-07-26 15:43:17.800,755.0,,,,
2021-07-26 15:43:22.238,,728.0,,,
2021-07-26 15:43:22.364,,,,,3406.0
2021-07-26 15:43:22.795,753.0,,,,
2021-07-26 15:43:24.302,,,,678.0,
