ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 14:51:02.041,416.0,,,,
2021-07-26 14:51:02.769,,,,,1113.0
2021-07-26 14:51:03.196,,,,369.0,
2021-07-26 14:51:04.431,,403.0,,,
2021-07-26 14:51:07.038,417.0,,,,
2021-07-26 14:51:08.787,,,,,1198.0
2021-07-26 14:51:11.001,,409.0,,,
2021-07-26 14:51:11.400,,,,377.0,
2021-07-26 14:51:12.031,417.0,,,,
2021-07-26 14:51:14.800,,,,,1281.0
2021-07-26 14:51:17.027,421.0,,,,
2021-07-26 14:51:17.571,,413.0,,,
2021-07-26 14:51:19.577,,,,389.0,
2021-07-26 14:51:20.814,,,,,1310.0
2021-07-26 14:51:22.031,422.0,,,,
2021-07-26 14:51:24.141,,419.0,,,
2021-07-26 14:51:26.834,,,,,1270.0
2021-07-26 14:51:27.027,424.0,,,,
2021-07-26 14:51:27.770,,,,394.0,
2021-07-26 14:51:30.711,,422.0,,,
2021-07-26 14:51:32.029,425.0,,,,
2021-07-26 14:51:32.858,,,,,1140.0
2021-07-26 14:51:35.969,,,,393.0,
2021-07-26 14:51:37.021,428.0,,,,
2021-07-26 14:51:37.282,,425.0,,,
2021-07-26 14:51:38.873,,,,,1509.0
2021-07-26 14:51:42.012,430.0,,,,
2021-07-26 14:51:43.851,,428.0,,,
2021-07-26 14:51:44.167,,,,392.0,
2021-07-26 14:51:44.888,,,,,1505.0
2021-07-26 14:51:47.006,432.0,,,,
2021-07-26 14:51:50.422,,431.0,,,
2021-07-26 14:51:50.904,,,,,1501.0
2021-07-26 14:51:52.006,434.0,,,,
2021-07-26 14:51:52.342,,,,395.0,
2021-07-26 14:51:56.916,,,,,1517.0
2021-07-26 14:51:57.004,438.0,,,,
2021-07-26 14:52:00.539,,,,397.0,
2021-07-26 14:52:02.003,443.0,,,,
2021-07-26 14:52:02.919,,,,,1692.0
2021-07-26 14:52:03.561,,447.0,,,
2021-07-26 14:52:06.991,450.0,,,,
2021-07-26 14:52:08.732,,,,408.0,
2021-07-26 14:52:08.933,,,,,2015.0
2021-07-26 14:52:10.132,,474.0,,,
2021-07-26 14:52:11.997,456.0,,,,
2021-07-26 14:52:14.946,,,,,2187.0
2021-07-26 14:52:16.702,,506.0,,,
2021-07-26 14:52:16.927,,,,525.0,
2021-07-26 14:52:16.984,481.0,,,,
2021-07-26 14:52:20.963,,,,,2226.0
2021-07-26 14:52:21.989,516.0,,,,
2021-07-26 14:52:23.272,,532.0,,,
2021-07-26 14:52:25.122,,,,541.0,
2021-07-26 14:52:26.977,,,,,2249.0
2021-07-26 14:52:26.987,539.0,,,,
2021-07-26 14:52:29.842,,556.0,,,
2021-07-26 14:52:31.985,561.0,,,,
2021-07-26 14:52:32.989,,,,,2289.0
2021-07-26 14:52:33.311,,,,558.0,
2021-07-26 14:52:36.412,,572.0,,,
2021-07-26 14:52:36.976,591.0,,,,
2021-07-26 14:52:39.002,,,,,2355.0
2021-07-26 14:52:41.507,,,,569.0,
2021-07-26 14:52:41.976,599.0,,,,
2021-07-26 14:52:42.982,,585.0,,,
2021-07-26 14:52:45.016,,,,,2436.0
2021-07-26 14:52:46.977,617.0,,,,
2021-07-26 14:52:49.552,,596.0,,,
