ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 13:58:08.736,,439.0,,,
2021-07-26 13:58:10.594,,,,,730.0
2021-07-26 13:58:11.567,,,429.0,,
2021-07-26 13:58:11.656,443.0,,,,
2021-07-26 13:58:15.296,,439.0,,,
2021-07-26 13:58:16.380,,,,391.0,
2021-07-26 13:58:16.562,,,429.0,,
2021-07-26 13:58:16.606,,,,,726.0
2021-07-26 13:58:16.643,443.0,,,,
2021-07-26 13:58:21.640,441.0,,,,
2021-07-26 13:58:21.856,,439.0,,,
2021-07-26 13:58:22.618,,,,,749.0
2021-07-26 13:58:22.755,,,429.0,,
2021-07-26 13:58:24.573,,,,390.0,
2021-07-26 13:58:26.632,441.0,,,,
2021-07-26 13:58:28.416,,440.0,,,
2021-07-26 13:58:28.634,,,,,706.0
2021-07-26 13:58:31.628,441.0,,,,
2021-07-26 13:58:32.766,,,,392.0,
2021-07-26 13:58:34.650,,,,,726.0
2021-07-26 13:58:36.619,441.0,,,,
2021-07-26 13:58:39.870,,,429.0,,
2021-07-26 13:58:40.656,,,,,726.0
2021-07-26 13:58:40.957,,,,394.0,
2021-07-26 13:58:41.536,,439.0,,,
2021-07-26 13:58:41.610,441.0,,,,
2021-07-26 13:58:44.997,,,429.0,,
2021-07-26 13:58:46.611,441.0,,,,
2021-07-26 13:58:46.667,,,,,671.0
2021-07-26 13:58:48.096,,439.0,,,
2021-07-26 13:58:49.151,,,,396.0,
2021-07-26 13:58:50.132,,,430.0,,
2021-07-26 13:58:51.594,442.0,,,,
2021-07-26 13:58:52.680,,,,,726.0
2021-07-26 13:58:54.655,,439.0,,,
2021-07-26 13:58:56.592,443.0,,,,
2021-07-26 13:58:57.344,,,,397.0,
2021-07-26 13:58:58.696,,,,,730.0
2021-07-26 13:59:01.215,,440.0,,,
2021-07-26 13:59:01.581,443.0,,,,
2021-07-26 13:59:03.293,,,430.0,,
2021-07-26 13:59:04.710,,,,,730.0
2021-07-26 13:59:05.538,,,,394.0,
2021-07-26 13:59:06.576,443.0,,,,
2021-07-26 13:59:07.775,,441.0,,,
2021-07-26 13:59:10.727,,,,,749.0
2021-07-26 13:59:11.572,443.0,,,,
2021-07-26 13:59:13.732,,,,396.0,
2021-07-26 13:59:14.335,,442.0,,,
2021-07-26 13:59:15.423,,,431.0,,
2021-07-26 13:59:16.559,443.0,,,,
2021-07-26 13:59:16.738,,,,,749.0
2021-07-26 13:59:20.895,,441.0,,,
2021-07-26 13:59:21.552,444.0,,,,
2021-07-26 13:59:21.923,,,,394.0,
2021-07-26 13:59:22.755,,,,,770.0
2021-07-26 13:59:24.553,,,431.0,,
2021-07-26 13:59:26.543,446.0,,,,
2021-07-26 13:59:27.455,,441.0,,,
2021-07-26 13:59:28.765,,,,,851.0
2021-07-26 13:59:29.681,,,431.0,,
2021-07-26 13:59:30.118,,,,392.0,
2021-07-26 13:59:31.533,485.0,,,,
2021-07-26 13:59:34.015,,510.0,,,
2021-07-26 13:59:34.786,,,,,1425.0
2021-07-26 13:59:36.529,569.0,,,,
2021-07-26 13:59:38.314,,,,401.0,
2021-07-26 13:59:40.575,,628.0,,,
2021-07-26 13:59:40.801,,,,,1681.0
2021-07-26 13:59:41.523,626.0,,,,
2021-07-26 13:59:42.809,,,434.0,,
2021-07-26 13:59:46.503,700.0,,,,
2021-07-26 13:59:46.513,,,,605.0,
2021-07-26 13:59:46.816,,,,,1757.0
2021-07-26 13:59:50.942,,,448.0,,
2021-07-26 13:59:51.507,722.0,,,,
2021-07-26 13:59:52.816,,,,,1770.0
2021-07-26 13:59:53.695,,766.0,,,
2021-07-26 13:59:54.697,,,,647.0,
2021-07-26 13:59:56.499,740.0,,,,
2021-07-26 13:59:57.076,,,464.0,,
2021-07-26 13:59:58.830,,,,,1757.0
2021-07-26 14:00:00.255,,775.0,,,
2021-07-26 14:00:01.496,758.0,,,,
2021-07-26 14:00:02.888,,,,671.0,
2021-07-26 14:00:04.845,,,,,1830.0
2021-07-26 14:00:06.491,784.0,,,,
2021-07-26 14:00:06.815,,777.0,,,
2021-07-26 14:00:09.199,,,476.0,,
2021-07-26 14:00:10.858,,,,,1875.0
2021-07-26 14:00:11.082,,,,684.0,
2021-07-26 14:00:11.479,791.0,,,,
2021-07-26 14:00:13.375,,778.0,,,
2021-07-26 14:00:16.476,788.0,,,,
2021-07-26 14:00:19.282,,,,695.0,
2021-07-26 14:00:19.893,,,,,1882.0
2021-07-26 14:00:21.470,786.0,,,,
2021-07-26 14:00:23.328,,,490.0,,
2021-07-26 14:00:25.895,,,,,1938.0
2021-07-26 14:00:26.468,791.0,,,,
2021-07-26 14:00:26.475,,774.0,,,
2021-07-26 14:00:27.470,,,,701.0,
2021-07-26 14:00:31.462,793.0,,,,
2021-07-26 14:00:31.913,,,,,1938.0
2021-07-26 14:00:33.035,,775.0,,,
2021-07-26 14:00:35.667,,,,705.0,
2021-07-26 14:00:36.458,794.0,,,,
2021-07-26 14:00:36.460,,,499.0,,
2021-07-26 14:00:37.926,,,,,1957.0
2021-07-26 14:00:39.595,,777.0,,,
2021-07-26 14:00:41.445,796.0,,,,
2021-07-26 14:00:43.859,,,,708.0,
2021-07-26 14:00:43.940,,,,,1983.0
2021-07-26 14:00:46.155,,778.0,,,
2021-07-26 14:00:46.424,801.0,,,,
2021-07-26 14:00:49.955,,,,,1983.0
2021-07-26 14:00:51.428,806.0,,,,
2021-07-26 14:00:52.053,,,,712.0,
2021-07-26 14:00:52.715,,780.0,,,
2021-07-26 14:00:54.593,,,521.0,,
2021-07-26 14:00:55.966,,,,,2027.0
2021-07-26 14:00:56.435,807.0,,,,
2021-07-26 14:00:59.275,,782.0,,,
2021-07-26 14:00:59.588,,,536.0,,
2021-07-26 14:01:00.256,,,,716.0,
2021-07-26 14:01:01.418,807.0,,,,
2021-07-26 14:01:01.980,,,,,2076.0
2021-07-26 14:01:05.836,,782.0,,,
2021-07-26 14:01:06.382,805.0,,,,
2021-07-26 14:01:07.717,,,549.0,,
2021-07-26 14:01:07.999,,,,,2056.0
2021-07-26 14:01:08.441,,,,719.0,
2021-07-26 14:01:11.409,809.0,,,,
2021-07-26 14:01:12.395,,785.0,,,
2021-07-26 14:01:12.851,,,551.0,,
2021-07-26 14:01:14.013,,,,,2124.0
2021-07-26 14:01:16.401,810.0,,,,
2021-07-26 14:01:16.636,,,,723.0,
2021-07-26 14:01:18.955,,787.0,,,
