sensor,concentracion,Error,TR+,M,D_r
scd30,633ppm,46.962252252252256,2.730816666666667,586.081081081081,633.0433333333333
sen0220,633ppm,12.004285714285743,3.393716666666667,645.047619047619,633.0433333333333
s8lp,633ppm,26.105426997245218,1.9154333333333333,659.1487603305785,633.0433333333333
cjmcu811,633ppm,3629.1966666666667,10.523850000000001,4262.24,633.0433333333333
