ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 16:34:59.356,,,,,2922.0
2021-07-26 16:35:01.431,,,475.0,,
2021-07-26 16:35:01.947,,,,476.0,
2021-07-26 16:35:03.980,525.0,,,,
2021-07-26 16:35:05.360,,,,,2968.0
2021-07-26 16:35:06.058,,527.0,,,
2021-07-26 16:35:06.559,,,476.0,,
2021-07-26 16:35:08.972,525.0,,,,
2021-07-26 16:35:10.141,,,,476.0,
2021-07-26 16:35:11.373,,,,,2968.0
2021-07-26 16:35:11.686,,,477.0,,
2021-07-26 16:35:12.628,,526.0,,,
2021-07-26 16:35:13.962,525.0,,,,
2021-07-26 16:35:17.387,,,,,3023.0
2021-07-26 16:35:17.816,,,479.0,,
2021-07-26 16:35:18.331,,,,475.0,
2021-07-26 16:35:18.962,527.0,,,,
2021-07-26 16:35:19.188,,526.0,,,
2021-07-26 16:35:22.944,,,479.0,,
2021-07-26 16:35:23.403,,,,,3023.0
2021-07-26 16:35:23.955,528.0,,,,
2021-07-26 16:35:25.758,,526.0,,,
2021-07-26 16:35:26.530,,,,476.0,
2021-07-26 16:35:28.073,,,480.0,,
2021-07-26 16:35:28.945,529.0,,,,
2021-07-26 16:35:29.415,,,,,3023.0
2021-07-26 16:35:32.318,,525.0,,,
2021-07-26 16:35:33.202,,,480.0,,
2021-07-26 16:35:33.942,529.0,,,,
2021-07-26 16:35:34.721,,,,475.0,
2021-07-26 16:35:35.428,,,,,3075.0
2021-07-26 16:35:38.888,,526.0,,,
2021-07-26 16:35:38.937,529.0,,,,
2021-07-26 16:35:40.327,,,481.0,,
2021-07-26 16:35:41.443,,,,,3087.0
2021-07-26 16:35:42.913,,,,475.0,
2021-07-26 16:35:43.936,528.0,,,,
2021-07-26 16:35:45.448,,527.0,,,
2021-07-26 16:35:47.458,,,,,3087.0
2021-07-26 16:35:48.456,,,482.0,,
2021-07-26 16:35:48.927,528.0,,,,
2021-07-26 16:35:51.109,,,,475.0,
2021-07-26 16:35:52.009,,526.0,,,
2021-07-26 16:35:53.474,,,,,3105.0
2021-07-26 16:35:53.925,530.0,,,,
2021-07-26 16:35:54.585,,,483.0,,
2021-07-26 16:35:58.579,,527.0,,,
2021-07-26 16:35:58.914,529.0,,,,
2021-07-26 16:35:59.303,,,,475.0,
2021-07-26 16:35:59.489,,,,,3141.0
2021-07-26 16:36:01.709,,,483.0,,
2021-07-26 16:36:03.915,530.0,,,,
2021-07-26 16:36:05.139,,527.0,,,
2021-07-26 16:36:05.507,,,,,3141.0
2021-07-26 16:36:07.494,,,,476.0,
2021-07-26 16:36:08.906,531.0,,,,
2021-07-26 16:36:10.843,,,484.0,,
2021-07-26 16:36:11.521,,,,,3165.0
2021-07-26 16:36:13.901,532.0,,,,
2021-07-26 16:36:15.689,,,,476.0,
2021-07-26 16:36:15.969,,,485.0,,
2021-07-26 16:36:17.526,,,,,3183.0
2021-07-26 16:36:18.259,,527.0,,,
2021-07-26 16:36:18.900,532.0,,,,
2021-07-26 16:36:23.537,,,,,3198.0
2021-07-26 16:36:23.883,533.0,,,,
2021-07-26 16:36:23.884,,,,476.0,
2021-07-26 16:36:24.819,,528.0,,,
2021-07-26 16:36:28.879,533.0,,,,
2021-07-26 16:36:29.096,,,487.0,,
2021-07-26 16:36:29.556,,,,,3216.0
2021-07-26 16:36:31.379,,529.0,,,
2021-07-26 16:36:32.076,,,,477.0,
2021-07-26 16:36:33.869,533.0,,,,
2021-07-26 16:36:35.567,,,,,3216.0
2021-07-26 16:36:37.939,,530.0,,,
2021-07-26 16:36:38.867,533.0,,,,
2021-07-26 16:36:40.230,,,487.0,,
2021-07-26 16:36:40.267,,,,477.0,
2021-07-26 16:36:41.579,,,,,3216.0
2021-07-26 16:36:43.867,533.0,,,,
2021-07-26 16:36:44.499,,531.0,,,
