tiempo,fluke
2021-07-26 15:42:00,437.0
2021-07-26 15:42:01,437.0
2021-07-26 15:42:02,440.0
2021-07-26 15:42:03,440.0
2021-07-26 15:42:04,444.0
2021-07-26 15:42:05,444.0
2021-07-26 15:42:06,446.0
2021-07-26 15:42:07,446.0
2021-07-26 15:42:08,453.0
2021-07-26 15:42:09,453.0
2021-07-26 15:42:10,458.0
2021-07-26 15:42:11,458.0
2021-07-26 15:42:12,462.0
2021-07-26 15:42:13,462.0
2021-07-26 15:42:14,466.0
2021-07-26 15:42:15,466.0
2021-07-26 15:42:16,471.0
2021-07-26 15:42:17,471.0
2021-07-26 15:42:18,475.0
2021-07-26 15:42:19,475.0
2021-07-26 15:42:20,479.0
2021-07-26 15:42:21,479.0
2021-07-26 15:42:22,483.0
2021-07-26 15:42:23,483.0
2021-07-26 15:42:24,488.0
2021-07-26 15:42:25,488.0
2021-07-26 15:42:26,493.0
2021-07-26 15:42:27,493.0
2021-07-26 15:42:28,497.0
2021-07-26 15:42:29,497.0
2021-07-26 15:42:30,499.0
2021-07-26 15:42:31,499.0
2021-07-26 15:42:32,503.0
2021-07-26 15:42:33,503.0
2021-07-26 15:42:34,506.0
2021-07-26 15:42:35,506.0
2021-07-26 15:42:36,509.0
2021-07-26 15:42:37,509.0
2021-07-26 15:42:38,510.0
2021-07-26 15:42:39,510.0
2021-07-26 15:42:40,511.0
2021-07-26 15:42:41,511.0
2021-07-26 15:42:42,513.0
2021-07-26 15:42:43,513.0
2021-07-26 15:42:44,515.0
2021-07-26 15:42:45,516.0
2021-07-26 15:42:46,517.0
2021-07-26 15:42:47,517.0
2021-07-26 15:42:48,519.0
2021-07-26 15:42:49,519.0
2021-07-26 15:42:50,520.0
2021-07-26 15:42:51,520.0
2021-07-26 15:42:52,523.0
2021-07-26 15:42:53,523.0
2021-07-26 15:42:54,528.0
2021-07-26 15:42:55,528.0
2021-07-26 15:42:56,532.0
2021-07-26 15:42:57,532.0
2021-07-26 15:42:58,536.0
2021-07-26 15:42:59,536.0
2021-07-26 15:43:00,539.0
2021-07-26 15:43:01,539.0
2021-07-26 15:43:02,540.0
2021-07-26 15:43:03,540.0
2021-07-26 15:43:04,541.0
2021-07-26 15:43:05,543.0
2021-07-26 15:43:06,546.0
2021-07-26 15:43:07,546.0
2021-07-26 15:43:08,547.0
2021-07-26 15:43:09,547.0
2021-07-26 15:43:10,547.0
2021-07-26 15:43:11,547.0
2021-07-26 15:43:12,548.0
2021-07-26 15:43:13,548.0
2021-07-26 15:43:14,549.0
2021-07-26 15:43:15,549.0
2021-07-26 15:43:16,550.0
2021-07-26 15:43:17,550.0
2021-07-26 15:43:18,553.0
2021-07-26 15:43:19,553.0
2021-07-26 15:43:20,557.0
2021-07-26 15:43:21,557.0
2021-07-26 15:43:22,559.0
2021-07-26 15:43:23,559.0
2021-07-26 15:43:24,561.0
2021-07-26 15:43:25,560.0
2021-07-26 15:43:26,562.0
2021-07-26 15:43:27,562.0
2021-07-26 15:43:28,566.0
2021-07-26 15:43:29,566.0
2021-07-26 15:43:30,573.0
2021-07-26 15:43:31,573.0
2021-07-26 15:43:32,574.0
2021-07-26 15:43:33,574.0
2021-07-26 15:43:34,574.0
2021-07-26 15:43:35,573.0
2021-07-26 15:43:36,573.0
2021-07-26 15:43:37,573.0
2021-07-26 15:43:38,574.0
2021-07-26 15:43:39,574.0
2021-07-26 15:43:40,576.0
2021-07-26 15:43:41,576.0
2021-07-26 15:43:42,579.0
2021-07-26 15:43:43,579.0
2021-07-26 15:43:44,584.0
2021-07-26 15:43:45,584.0
2021-07-26 15:43:46,587.0
2021-07-26 15:43:47,587.0
2021-07-26 15:43:48,590.0
2021-07-26 15:43:49,590.0
2021-07-26 15:43:50,594.0
2021-07-26 15:43:51,594.0
2021-07-26 15:43:52,598.0
2021-07-26 15:43:53,598.0
2021-07-26 15:43:54,601.0
2021-07-26 15:43:55,602.0
2021-07-26 15:43:56,602.0
2021-07-26 15:43:57,602.0
2021-07-26 15:43:58,602.0
2021-07-26 15:43:59,602.0
2021-07-26 15:44:00,600.0
2021-07-26 15:44:01,600.0
2021-07-26 15:44:02,599.0
2021-07-26 15:44:03,599.0
2021-07-26 15:44:04,601.0
2021-07-26 15:44:05,601.0
2021-07-26 15:44:06,601.0
2021-07-26 15:44:07,601.0
2021-07-26 15:44:08,601.0
2021-07-26 15:44:09,601.0
2021-07-26 15:44:10,601.0
2021-07-26 15:44:11,600.0
2021-07-26 15:44:12,600.0
2021-07-26 15:44:13,603.0
2021-07-26 15:44:14,603.0
2021-07-26 15:44:15,606.0
2021-07-26 15:44:16,606.0
2021-07-26 15:44:17,609.0
2021-07-26 15:44:18,609.0
2021-07-26 15:44:19,608.0
2021-07-26 15:44:20,607.0
2021-07-26 15:44:21,604.0
2021-07-26 15:44:22,604.0
2021-07-26 15:44:23,601.0
2021-07-26 15:44:24,601.0
2021-07-26 15:44:25,601.0
2021-07-26 15:44:26,601.0
2021-07-26 15:44:27,599.0
2021-07-26 15:44:28,600.0
2021-07-26 15:44:29,599.0
2021-07-26 15:44:30,598.0
2021-07-26 15:44:31,595.0
2021-07-26 15:44:32,595.0
2021-07-26 15:44:33,594.0
2021-07-26 15:44:34,594.0
