Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
4868,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,845 ppm,,,,28/09/2021 09:59:23 p. m.
4869,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,850 ppm,,,,28/09/2021 09:59:28 p. m.
4870,,26.4 °C,22.1 °C,20.7 °C,71.2 %,2 ppm,849 ppm,,,,28/09/2021 09:59:33 p. m.
4871,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,847 ppm,,,,28/09/2021 09:59:38 p. m.
4872,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,854 ppm,,,,28/09/2021 09:59:43 p. m.
4873,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,854 ppm,,,,28/09/2021 09:59:48 p. m.
4874,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,852 ppm,,,,28/09/2021 09:59:53 p. m.
4875,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,847 ppm,,,,28/09/2021 09:59:58 p. m.
4876,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,845 ppm,,,,28/09/2021 10:00:03 p. m.
4877,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,840 ppm,,,,28/09/2021 10:00:08 p. m.
4878,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,837 ppm,,,,28/09/2021 10:00:13 p. m.
4879,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,837 ppm,,,,28/09/2021 10:00:18 p. m.
4880,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,841 ppm,,,,28/09/2021 10:00:23 p. m.
4881,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,852 ppm,,,,28/09/2021 10:00:28 p. m.
4882,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,853 ppm,,,,28/09/2021 10:00:33 p. m.
4883,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,857 ppm,,,,28/09/2021 10:00:38 p. m.
4884,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,855 ppm,,,,28/09/2021 10:00:43 p. m.
4885,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,859 ppm,,,,28/09/2021 10:00:48 p. m.
4886,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,869 ppm,,,,28/09/2021 10:00:53 p. m.
4887,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,874 ppm,,,,28/09/2021 10:00:58 p. m.
4888,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,863 ppm,,,,28/09/2021 10:01:03 p. m.
4889,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,857 ppm,,,,28/09/2021 10:01:08 p. m.
4890,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,858 ppm,,,,28/09/2021 10:01:13 p. m.
4891,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,854 ppm,,,,28/09/2021 10:01:18 p. m.
4892,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,857 ppm,,,,28/09/2021 10:01:23 p. m.
4893,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,853 ppm,,,,28/09/2021 10:01:28 p. m.
4894,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,850 ppm,,,,28/09/2021 10:01:33 p. m.
4895,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,847 ppm,,,,28/09/2021 10:01:38 p. m.
4896,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,850 ppm,,,,28/09/2021 10:01:43 p. m.
4897,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,854 ppm,,,,28/09/2021 10:01:48 p. m.
4898,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,850 ppm,,,,28/09/2021 10:01:53 p. m.
4899,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,852 ppm,,,,28/09/2021 10:01:58 p. m.
4900,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,852 ppm,,,,28/09/2021 10:02:03 p. m.
4901,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,852 ppm,,,,28/09/2021 10:02:08 p. m.
4902,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,848 ppm,,,,28/09/2021 10:02:13 p. m.
4903,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,847 ppm,,,,28/09/2021 10:02:18 p. m.
4904,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,845 ppm,,,,28/09/2021 10:02:23 p. m.
4905,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,847 ppm,,,,28/09/2021 10:02:28 p. m.
4906,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,844 ppm,,,,28/09/2021 10:02:33 p. m.
4907,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,841 ppm,,,,28/09/2021 10:02:38 p. m.
4908,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,843 ppm,,,,28/09/2021 10:02:43 p. m.
4909,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,844 ppm,,,,28/09/2021 10:02:48 p. m.
4910,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,847 ppm,,,,28/09/2021 10:02:53 p. m.
4911,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,850 ppm,,,,28/09/2021 10:02:58 p. m.
4912,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,852 ppm,,,,28/09/2021 10:03:03 p. m.
4913,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,849 ppm,,,,28/09/2021 10:03:08 p. m.
4914,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,853 ppm,,,,28/09/2021 10:03:13 p. m.
4915,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,855 ppm,,,,28/09/2021 10:03:18 p. m.
4916,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,860 ppm,,,,28/09/2021 10:03:23 p. m.
4917,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,858 ppm,,,,28/09/2021 10:03:28 p. m.
4918,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,860 ppm,,,,28/09/2021 10:03:33 p. m.
4919,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,859 ppm,,,,28/09/2021 10:03:38 p. m.
4920,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,850 ppm,,,,28/09/2021 10:03:43 p. m.
4921,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,852 ppm,,,,28/09/2021 10:03:48 p. m.
4922,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,849 ppm,,,,28/09/2021 10:03:53 p. m.
4923,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,845 ppm,,,,28/09/2021 10:03:58 p. m.
4924,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,847 ppm,,,,28/09/2021 10:04:03 p. m.
4925,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,845 ppm,,,,28/09/2021 10:04:08 p. m.
