Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,26.2 °C,21.2 °C,19.4 °C,66.6 %,3 ppm,416 ppm,,,,29/09/2021 03:42:10 p. m.
2,,26.2 °C,21.2 °C,19.4 °C,66.6 %,3 ppm,415 ppm,,,,29/09/2021 03:42:15 p. m.
3,,26.2 °C,21.2 °C,19.4 °C,66.6 %,3 ppm,411 ppm,,,,29/09/2021 03:42:20 p. m.
4,,26.2 °C,21.2 °C,19.4 °C,66.6 %,3 ppm,413 ppm,,,,29/09/2021 03:42:25 p. m.
5,,26.3 °C,21.3 °C,19.5 °C,66.6 %,3 ppm,416 ppm,,,,29/09/2021 03:42:30 p. m.
6,,26.3 °C,21.3 °C,19.5 °C,66.5 %,3 ppm,416 ppm,,,,29/09/2021 03:42:35 p. m.
7,,26.3 °C,21.3 °C,19.5 °C,66.6 %,3 ppm,414 ppm,,,,29/09/2021 03:42:40 p. m.
8,,26.3 °C,21.3 °C,19.5 °C,66.7 %,3 ppm,410 ppm,,,,29/09/2021 03:42:45 p. m.
9,,26.3 °C,21.4 °C,19.6 °C,66.7 %,3 ppm,409 ppm,,,,29/09/2021 03:42:50 p. m.
10,,26.3 °C,21.4 °C,19.6 °C,66.7 %,3 ppm,409 ppm,,,,29/09/2021 03:42:55 p. m.
11,,26.3 °C,21.4 °C,19.6 °C,66.8 %,3 ppm,413 ppm,,,,29/09/2021 03:43:00 p. m.
12,,26.3 °C,21.4 °C,19.6 °C,66.8 %,3 ppm,419 ppm,,,,29/09/2021 03:43:05 p. m.
13,,26.3 °C,21.4 °C,19.6 °C,66.8 %,3 ppm,421 ppm,,,,29/09/2021 03:43:10 p. m.
14,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,426 ppm,,,,29/09/2021 03:43:15 p. m.
15,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,437 ppm,,,,29/09/2021 03:43:20 p. m.
16,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,444 ppm,,,,29/09/2021 03:43:25 p. m.
17,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,454 ppm,,,,29/09/2021 03:43:30 p. m.
18,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,457 ppm,,,,29/09/2021 03:43:35 p. m.
19,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,462 ppm,,,,29/09/2021 03:43:40 p. m.
20,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,463 ppm,,,,29/09/2021 03:43:45 p. m.
21,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,466 ppm,,,,29/09/2021 03:43:50 p. m.
22,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,467 ppm,,,,29/09/2021 03:43:55 p. m.
23,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,472 ppm,,,,29/09/2021 03:44:00 p. m.
24,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,479 ppm,,,,29/09/2021 03:44:05 p. m.
25,,26.4 °C,21.5 °C,19.7 °C,66.9 %,3 ppm,478 ppm,,,,29/09/2021 03:44:10 p. m.
26,,26.4 °C,21.5 °C,19.7 °C,66.9 %,3 ppm,482 ppm,,,,29/09/2021 03:44:15 p. m.
27,,26.4 °C,21.5 °C,19.7 °C,66.9 %,3 ppm,486 ppm,,,,29/09/2021 03:44:20 p. m.
28,,26.4 °C,21.5 °C,19.7 °C,66.9 %,3 ppm,489 ppm,,,,29/09/2021 03:44:25 p. m.
29,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,490 ppm,,,,29/09/2021 03:44:30 p. m.
30,,26.4 °C,21.5 °C,19.7 °C,66.8 %,3 ppm,493 ppm,,,,29/09/2021 03:44:35 p. m.
31,,26.4 °C,21.5 °C,19.7 °C,66.9 %,3 ppm,489 ppm,,,,29/09/2021 03:44:40 p. m.
32,,26.4 °C,21.5 °C,19.7 °C,67.0 %,3 ppm,487 ppm,,,,29/09/2021 03:44:45 p. m.
33,,26.4 °C,21.5 °C,19.7 °C,66.9 %,3 ppm,493 ppm,,,,29/09/2021 03:44:50 p. m.
34,,26.5 °C,21.6 °C,19.8 °C,67.0 %,3 ppm,500 ppm,,,,29/09/2021 03:44:55 p. m.
35,,26.5 °C,21.5 °C,19.7 °C,67.0 %,3 ppm,501 ppm,,,,29/09/2021 03:45:00 p. m.
36,,26.4 °C,21.5 °C,19.7 °C,67.0 %,3 ppm,501 ppm,,,,29/09/2021 03:45:05 p. m.
37,,26.5 °C,21.5 °C,19.7 °C,67.0 %,3 ppm,505 ppm,,,,29/09/2021 03:45:10 p. m.
38,,26.5 °C,21.6 °C,19.8 °C,67.0 %,3 ppm,509 ppm,,,,29/09/2021 03:45:15 p. m.
39,,26.5 °C,21.6 °C,19.8 °C,67.0 %,3 ppm,511 ppm,,,,29/09/2021 03:45:20 p. m.
40,,26.5 °C,21.6 °C,19.8 °C,67.0 %,3 ppm,511 ppm,,,,29/09/2021 03:45:25 p. m.
41,,26.5 °C,21.6 °C,19.8 °C,67.1 %,3 ppm,507 ppm,,,,29/09/2021 03:45:30 p. m.
42,,26.5 °C,21.6 °C,19.8 °C,67.1 %,3 ppm,501 ppm,,,,29/09/2021 03:45:35 p. m.
43,,26.5 °C,21.6 °C,19.8 °C,67.1 %,3 ppm,503 ppm,,,,29/09/2021 03:45:40 p. m.
