,fluke,s8lp,sen0220,scd30
2021-09-23 13:20:00,443.0,453.0,439.0,417.0
2021-09-23 13:20:20,439.0,449.0,429.0,422.0
2021-09-23 13:20:40,432.0,445.0,424.0,418.0
2021-09-23 13:21:00,426.0,444.0,429.0,415.0
2021-09-23 13:21:20,421.0,445.0,431.0,419.0
2021-09-23 13:21:40,421.0,448.0,431.0,424.0
2021-09-23 13:22:00,424.0,447.0,433.0,426.0
2021-09-23 13:22:20,425.0,450.0,434.0,429.0
2021-09-23 13:22:40,423.0,452.0,434.0,429.0
2021-09-23 13:23:00,419.0,454.0,436.0,430.0
2021-09-23 13:23:20,422.0,455.0,439.0,428.0
2021-09-23 13:23:40,430.0,455.0,444.0,447.0
2021-09-23 13:24:00,427.0,455.0,443.0,438.0
2021-09-23 13:24:20,421.0,456.0,440.0,435.0
2021-09-23 13:24:40,427.0,456.0,442.0,434.0
2021-09-23 13:25:00,427.0,456.0,442.0,434.0
2021-09-23 13:25:20,423.0,453.0,435.0,440.0
2021-09-23 13:25:40,424.0,451.0,431.0,434.0
2021-09-23 13:26:00,425.0,450.0,433.0,455.0
2021-09-23 13:26:20,420.0,454.0,442.0,456.0
2021-09-23 13:26:40,413.0,459.0,450.0,444.0
2021-09-23 13:27:00,421.0,460.0,452.0,446.0
2021-09-23 13:27:20,430.0,460.0,444.0,445.0
2021-09-23 13:27:40,419.0,459.0,439.0,415.0
2021-09-23 13:28:00,420.0,457.0,436.0,418.0
2021-09-23 13:28:20,423.0,455.0,434.0,430.0
2021-09-23 13:28:40,415.0,453.0,431.0,423.0
2021-09-23 13:29:00,416.0,453.0,434.0,425.0
2021-09-23 13:29:20,421.0,449.0,426.0,424.0
2021-09-23 13:29:40,415.0,449.0,423.0,415.0
2021-09-23 13:30:00,417.0,449.0,432.0,421.0
2021-09-23 13:30:20,414.0,451.0,439.0,423.0
2021-09-23 13:30:40,411.0,451.0,437.0,429.0
2021-09-23 13:31:00,418.0,450.0,436.0,433.0
2021-09-23 13:31:20,416.0,451.0,436.0,434.0
2021-09-23 13:31:40,417.0,451.0,433.0,434.0
2021-09-23 13:32:00,421.0,452.0,431.0,434.0
2021-09-23 13:32:20,423.0,453.0,432.0,433.0
2021-09-23 13:32:40,418.0,453.0,433.0,433.0
2021-09-23 13:33:00,412.0,453.0,433.0,434.0
2021-09-23 13:33:20,416.0,451.0,434.0,436.0
2021-09-23 13:33:40,411.0,451.0,435.0,436.0
2021-09-23 13:34:00,408.0,452.0,435.0,436.0
2021-09-23 13:34:20,415.0,452.0,433.0,435.0
2021-09-23 13:34:40,416.0,451.0,432.0,435.0
2021-09-23 13:35:00,417.0,452.0,431.0,435.0
2021-09-23 13:35:20,421.0,453.0,431.0,434.0
2021-09-23 13:35:40,418.0,452.0,435.0,434.0
2021-09-23 13:36:00,416.0,453.0,435.0,434.0
2021-09-23 13:36:20,421.0,454.0,434.0,433.0
2021-09-23 13:36:40,420.0,454.0,433.0,433.0
2021-09-23 13:37:00,409.0,454.0,435.0,433.0
2021-09-23 13:37:20,406.0,454.0,433.0,433.0
2021-09-23 13:37:40,409.0,454.0,433.0,433.0
2021-09-23 13:38:00,410.0,454.0,433.0,432.0
2021-09-23 13:38:20,414.0,454.0,431.0,431.0
2021-09-23 13:38:40,416.0,454.0,432.0,432.0
2021-09-23 13:39:00,415.0,455.0,431.0,433.0
2021-09-23 13:39:20,412.0,454.0,433.0,433.0
2021-09-23 13:39:40,413.0,454.0,434.0,433.0
2021-09-23 13:40:00,417.0,454.0,433.0,434.0
2021-09-23 13:40:20,417.0,454.0,431.0,434.0
2021-09-23 13:40:40,411.0,454.0,432.0,434.0
2021-09-23 13:41:00,422.0,454.0,432.0,435.0
2021-09-23 13:41:20,427.0,453.0,431.0,435.0
2021-09-23 13:41:40,420.0,452.0,433.0,436.0
2021-09-23 13:42:00,427.0,453.0,433.0,436.0
2021-09-23 13:42:20,424.0,453.0,433.0,436.0
2021-09-23 13:42:40,416.0,454.0,434.0,436.0
2021-09-23 13:43:00,414.0,452.0,433.0,435.0
2021-09-23 13:43:20,413.0,456.0,434.0,434.0
2021-09-23 13:43:40,423.0,456.0,436.0,434.0
2021-09-23 13:44:00,414.0,456.0,435.0,434.0
2021-09-23 13:44:20,403.0,454.0,435.0,433.0
2021-09-23 13:44:40,410.0,454.0,433.0,433.0
2021-09-23 13:45:00,412.0,454.0,433.0,433.0
2021-09-23 13:45:20,416.0,453.0,435.0,432.0
2021-09-23 13:45:40,414.0,453.0,433.0,433.0
2021-09-23 13:46:00,413.0,453.0,434.0,434.0
2021-09-23 13:46:20,416.0,453.0,434.0,433.0
2021-09-23 13:46:40,418.0,452.0,434.0,433.0
2021-09-23 13:47:00,413.0,454.0,436.0,432.0
2021-09-23 13:47:20,415.0,455.0,435.0,433.0
2021-09-23 13:47:40,416.0,454.0,434.0,433.0
2021-09-23 13:48:00,412.0,454.0,435.0,433.0
2021-09-23 13:48:20,411.0,454.0,435.0,431.0
2021-09-23 13:48:40,407.0,455.0,435.0,432.0
2021-09-23 13:49:00,403.0,455.0,435.0,433.0
2021-09-23 13:49:20,412.0,455.0,435.0,433.0
2021-09-23 13:49:40,416.0,455.0,436.0,433.0
2021-09-23 13:50:00,414.0,454.0,436.0,434.0
2021-09-23 13:50:20,412.0,453.0,438.0,433.0
2021-09-23 13:50:40,416.0,453.0,437.0,434.0
2021-09-23 13:51:00,412.0,453.0,436.0,434.0
2021-09-23 13:51:20,406.0,453.0,435.0,434.0
2021-09-23 13:51:40,404.0,452.0,435.0,433.0
2021-09-23 13:52:00,409.0,451.0,435.0,432.0
2021-09-23 13:52:20,417.0,451.0,434.0,430.0
2021-09-23 13:52:40,419.0,451.0,434.0,430.0
2021-09-23 13:53:00,423.0,451.0,435.0,430.0
2021-09-23 13:53:20,422.0,451.0,433.0,429.0
2021-09-23 13:53:40,422.0,451.0,435.0,429.0
2021-09-23 13:54:00,422.0,452.0,437.0,430.0
2021-09-23 13:54:20,416.0,452.0,435.0,430.0
2021-09-23 13:54:40,416.0,453.0,437.0,431.0
2021-09-23 13:55:00,420.0,453.0,435.0,431.0
2021-09-23 13:55:20,416.0,453.0,436.0,430.0
2021-09-23 13:55:40,411.0,453.0,436.0,431.0
2021-09-23 13:56:00,411.0,453.0,437.0,431.0
2021-09-23 13:56:20,414.0,454.0,436.0,432.0
2021-09-23 13:56:40,413.0,454.0,436.0,433.0
2021-09-23 13:57:00,416.0,453.0,436.0,433.0
2021-09-23 13:57:20,412.0,453.0,438.0,433.0
2021-09-23 13:57:40,412.0,453.0,436.0,433.0
2021-09-23 13:58:00,414.0,452.0,435.0,433.0
2021-09-23 13:58:20,410.0,452.0,436.0,432.0
2021-09-23 13:58:40,414.0,452.0,436.0,432.0
2021-09-23 13:59:00,415.0,452.0,436.0,432.0
2021-09-23 13:59:20,408.0,453.0,435.0,432.0
2021-09-23 13:59:40,411.0,453.0,436.0,431.0
2021-09-23 14:00:00,408.0,452.0,437.0,431.0
