ts,scd30
2021-09-23 18:59:55.721,1087.0
2021-09-23 18:59:50.563,1087.0
2021-09-23 18:59:45.520,1086.0
2021-09-23 18:59:40.558,1086.0
2021-09-23 18:59:35.521,1086.0
2021-09-23 18:59:30.558,1086.0
2021-09-23 18:59:25.524,1086.0
2021-09-23 18:59:20.556,1086.0
2021-09-23 18:59:15.520,1085.0
2021-09-23 18:59:10.559,1086.0
2021-09-23 18:59:05.522,1086.0
2021-09-23 18:59:01.724,1085.0
2021-09-23 18:58:55.529,1085.0
2021-09-23 18:58:50.559,1085.0
2021-09-23 18:58:45.523,1086.0
2021-09-23 18:58:40.556,1085.0
2021-09-23 18:58:35.725,1085.0
2021-09-23 18:58:30.558,1085.0
2021-09-23 18:58:25.520,1086.0
2021-09-23 18:58:20.555,1086.0
2021-09-23 18:58:15.522,1086.0
2021-09-23 18:58:10.558,1086.0
2021-09-23 18:58:05.522,1086.0
2021-09-23 18:58:00.555,1086.0
2021-09-23 18:57:55.520,1087.0
2021-09-23 18:57:50.558,1086.0
2021-09-23 18:57:45.522,1086.0
2021-09-23 18:57:41.725,1085.0
2021-09-23 18:57:35.525,1085.0
2021-09-23 18:57:30.561,1085.0
2021-09-23 18:57:25.522,1085.0
2021-09-23 18:57:20.558,1086.0
2021-09-23 18:57:15.521,1085.0
2021-09-23 18:57:10.559,1086.0
2021-09-23 18:57:05.523,1084.0
2021-09-23 18:57:00.559,1084.0
2021-09-23 18:56:55.521,1085.0
2021-09-23 18:56:50.560,1085.0
2021-09-23 18:56:45.522,1085.0
2021-09-23 18:56:40.558,1086.0
2021-09-23 18:56:35.531,1086.0
2021-09-23 18:56:30.559,1085.0
2021-09-23 18:56:25.521,1085.0
2021-09-23 18:56:21.728,1085.0
2021-09-23 18:56:15.519,1085.0
2021-09-23 18:56:10.557,1085.0
2021-09-23 18:56:05.521,1084.0
2021-09-23 18:56:00.571,1084.0
2021-09-23 18:55:55.518,1083.0
2021-09-23 18:55:50.556,1084.0
2021-09-23 18:55:45.522,1085.0
2021-09-23 18:55:40.556,1085.0
2021-09-23 18:55:35.520,1086.0
2021-09-23 18:55:30.553,1086.0
2021-09-23 18:55:25.520,1086.0
2021-09-23 18:55:20.558,1085.0
2021-09-23 18:55:15.519,1086.0
2021-09-23 18:55:10.557,1086.0
2021-09-23 18:55:05.519,1085.0
2021-09-23 18:55:00.555,1086.0
2021-09-23 18:54:55.518,1086.0
2021-09-23 18:54:50.558,1086.0
2021-09-23 18:54:45.518,1085.0
2021-09-23 18:54:40.556,1085.0
2021-09-23 18:54:35.519,1084.0
2021-09-23 18:54:30.557,1084.0
2021-09-23 18:54:25.519,1084.0
2021-09-23 18:54:20.556,1085.0
2021-09-23 18:54:15.521,1086.0
2021-09-23 18:54:10.559,1086.0
2021-09-23 18:54:05.723,1086.0
2021-09-23 18:54:00.556,1086.0
2021-09-23 18:53:55.520,1085.0
2021-09-23 18:53:50.558,1085.0
2021-09-23 18:53:45.524,1085.0
2021-09-23 18:53:40.557,1084.0
2021-09-23 18:53:35.522,1085.0
2021-09-23 18:53:30.555,1084.0
2021-09-23 18:53:25.520,1084.0
