Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.9 °C,20.9 °C,19.0 °C,65.9 %,0 ppm,433 ppm,,,,30/06/2021 02:57:03 p. m.
2,,25.9 °C,20.9 °C,19.0 °C,65.9 %,1 ppm,432 ppm,,,,30/06/2021 02:57:08 p. m.
3,,25.9 °C,20.9 °C,19.0 °C,65.9 %,1 ppm,433 ppm,,,,30/06/2021 02:57:13 p. m.
4,,25.9 °C,20.9 °C,19.0 °C,65.9 %,1 ppm,432 ppm,,,,30/06/2021 02:57:18 p. m.
5,,25.9 °C,20.9 °C,19.0 °C,65.9 %,1 ppm,429 ppm,,,,30/06/2021 02:57:23 p. m.
6,,25.9 °C,20.9 °C,19.0 °C,65.9 %,1 ppm,433 ppm,,,,30/06/2021 02:57:28 p. m.
7,,26.0 °C,20.9 °C,19.0 °C,65.8 %,1 ppm,432 ppm,,,,30/06/2021 02:57:33 p. m.
8,,26.0 °C,21.0 °C,19.1 °C,66.1 %,0 ppm,428 ppm,,,,30/06/2021 02:57:38 p. m.
9,,26.0 °C,21.0 °C,19.1 °C,66.1 %,1 ppm,426 ppm,,,,30/06/2021 02:57:43 p. m.
10,,26.0 °C,21.0 °C,19.1 °C,66.1 %,1 ppm,429 ppm,,,,30/06/2021 02:57:48 p. m.
11,,26.0 °C,21.0 °C,19.1 °C,66.2 %,1 ppm,428 ppm,,,,30/06/2021 02:57:53 p. m.
12,,26.0 °C,21.0 °C,19.1 °C,66.2 %,1 ppm,431 ppm,,,,30/06/2021 02:57:58 p. m.
13,,26.0 °C,21.0 °C,19.1 °C,66.1 %,1 ppm,434 ppm,,,,30/06/2021 02:58:03 p. m.
14,,26.0 °C,21.0 °C,19.1 °C,66.1 %,0 ppm,436 ppm,,,,30/06/2021 02:58:08 p. m.
