Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,454 ppm,,,,13/09/2021 10:22:35 a. m.
2,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,453 ppm,,,,13/09/2021 10:22:36 a. m.
3,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,455 ppm,,,,13/09/2021 10:22:37 a. m.
4,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,455 ppm,,,,13/09/2021 10:22:38 a. m.
5,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,455 ppm,,,,13/09/2021 10:22:39 a. m.
6,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,455 ppm,,,,13/09/2021 10:22:40 a. m.
7,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,455 ppm,,,,13/09/2021 10:22:41 a. m.
8,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,453 ppm,,,,13/09/2021 10:22:42 a. m.
9,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,453 ppm,,,,13/09/2021 10:22:43 a. m.
10,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,454 ppm,,,,13/09/2021 10:22:44 a. m.
11,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,454 ppm,,,,13/09/2021 10:22:45 a. m.
12,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,453 ppm,,,,13/09/2021 10:22:46 a. m.
13,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,454 ppm,,,,13/09/2021 10:22:47 a. m.
14,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,453 ppm,,,,13/09/2021 10:22:48 a. m.
15,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,453 ppm,,,,13/09/2021 10:22:49 a. m.
16,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,455 ppm,,,,13/09/2021 10:22:50 a. m.
17,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,455 ppm,,,,13/09/2021 10:22:51 a. m.
18,,25.4 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,457 ppm,,,,13/09/2021 10:22:52 a. m.
19,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,457 ppm,,,,13/09/2021 10:22:53 a. m.
20,,25.5 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,459 ppm,,,,13/09/2021 10:22:54 a. m.
21,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,460 ppm,,,,13/09/2021 10:22:55 a. m.
22,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,463 ppm,,,,13/09/2021 10:22:56 a. m.
23,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,463 ppm,,,,13/09/2021 10:22:57 a. m.
24,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,465 ppm,,,,13/09/2021 10:22:58 a. m.
25,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,465 ppm,,,,13/09/2021 10:22:59 a. m.
26,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,462 ppm,,,,13/09/2021 10:23:00 a. m.
27,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,462 ppm,,,,13/09/2021 10:23:01 a. m.
28,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,460 ppm,,,,13/09/2021 10:23:02 a. m.
29,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,460 ppm,,,,13/09/2021 10:23:03 a. m.
30,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,462 ppm,,,,13/09/2021 10:23:04 a. m.
31,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,462 ppm,,,,13/09/2021 10:23:05 a. m.
32,,25.5 °C,21.4 °C,20.0 °C,71.8 %,1 ppm,461 ppm,,,,13/09/2021 10:23:06 a. m.
33,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,461 ppm,,,,13/09/2021 10:23:07 a. m.
34,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,461 ppm,,,,13/09/2021 10:23:08 a. m.
35,,25.5 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,461 ppm,,,,13/09/2021 10:23:09 a. m.
36,,25.4 °C,21.4 °C,20.0 °C,71.9 %,1 ppm,459 ppm,,,,13/09/2021 10:23:10 a. m.
37,,25.4 °C,21.3 °C,19.9 °C,71.9 %,1 ppm,458 ppm,,,,13/09/2021 10:23:11 a. m.
38,,25.5 °C,21.3 °C,19.9 °C,71.9 %,1 ppm,459 ppm,,,,13/09/2021 10:23:12 a. m.
