Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.9 °C,20.9 °C,19.0 °C,66.0 %,1 ppm,427 ppm,,,,30/06/2021 02:28:04 p. m.
2,,25.9 °C,20.9 °C,19.0 °C,66.0 %,1 ppm,423 ppm,,,,30/06/2021 02:28:09 p. m.
3,,25.9 °C,20.9 °C,19.0 °C,66.0 %,1 ppm,424 ppm,,,,30/06/2021 02:28:14 p. m.
4,,25.9 °C,20.9 °C,19.0 °C,66.0 %,1 ppm,426 ppm,,,,30/06/2021 02:28:19 p. m.
5,,25.9 °C,20.9 °C,19.0 °C,66.0 %,1 ppm,428 ppm,,,,30/06/2021 02:28:24 p. m.
6,,26.0 °C,21.0 °C,19.1 °C,66.2 %,1 ppm,427 ppm,,,,30/06/2021 02:28:29 p. m.
7,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,428 ppm,,,,30/06/2021 02:28:34 p. m.
8,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,428 ppm,,,,30/06/2021 02:28:39 p. m.
9,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,429 ppm,,,,30/06/2021 02:28:44 p. m.
10,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,433 ppm,,,,30/06/2021 02:28:49 p. m.
11,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,439 ppm,,,,30/06/2021 02:28:54 p. m.
12,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,437 ppm,,,,30/06/2021 02:28:59 p. m.
13,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,438 ppm,,,,30/06/2021 02:29:04 p. m.
14,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,440 ppm,,,,30/06/2021 02:29:09 p. m.
15,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,439 ppm,,,,30/06/2021 02:29:14 p. m.
16,,26.0 °C,21.0 °C,19.2 °C,66.2 %,0 ppm,443 ppm,,,,30/06/2021 02:29:19 p. m.
17,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,446 ppm,,,,30/06/2021 02:29:24 p. m.
18,,26.0 °C,21.0 °C,19.2 °C,66.3 %,1 ppm,446 ppm,,,,30/06/2021 02:29:29 p. m.
19,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,443 ppm,,,,30/06/2021 02:29:34 p. m.
20,,26.0 °C,21.0 °C,19.2 °C,66.3 %,1 ppm,450 ppm,,,,30/06/2021 02:29:39 p. m.
21,,26.0 °C,21.0 °C,19.2 °C,66.2 %,1 ppm,456 ppm,,,,30/06/2021 02:29:44 p. m.
22,,26.0 °C,21.0 °C,19.2 °C,66.3 %,1 ppm,458 ppm,,,,30/06/2021 02:29:49 p. m.
