ts,s8lp
2021-09-24 12:52:03.642,429.0
2021-09-24 12:51:58.644,429.0
2021-09-24 12:51:53.776,429.0
2021-09-24 12:51:48.644,430.0
2021-09-24 12:51:43.642,430.0
2021-09-24 12:51:38.642,430.0
2021-09-24 12:51:33.775,430.0
2021-09-24 12:51:28.674,430.0
2021-09-24 12:51:23.643,430.0
2021-09-24 12:51:18.641,430.0
2021-09-24 12:51:13.772,430.0
2021-09-24 12:51:08.641,429.0
2021-09-24 12:51:03.642,429.0
2021-09-24 12:50:58.642,429.0
2021-09-24 12:50:53.771,430.0
2021-09-24 12:50:48.641,429.0
2021-09-24 12:50:43.646,429.0
2021-09-24 12:50:38.642,429.0
2021-09-24 12:50:33.776,430.0
2021-09-24 12:50:28.642,430.0
2021-09-24 12:50:23.643,430.0
2021-09-24 12:50:18.642,430.0
2021-09-24 12:50:13.775,430.0
2021-09-24 12:50:08.641,430.0
2021-09-24 12:50:03.643,431.0
2021-09-24 12:49:58.643,430.0
2021-09-24 12:49:53.775,431.0
2021-09-24 12:49:48.642,430.0
2021-09-24 12:49:43.642,431.0
2021-09-24 12:49:38.641,431.0
2021-09-24 12:49:33.776,430.0
2021-09-24 12:49:28.643,431.0
2021-09-24 12:49:23.642,432.0
2021-09-24 12:49:18.641,432.0
2021-09-24 12:49:13.776,432.0
2021-09-24 12:49:08.642,433.0
2021-09-24 12:49:03.643,433.0
2021-09-24 12:48:58.641,433.0
2021-09-24 12:48:53.776,434.0
2021-09-24 12:48:48.641,434.0
2021-09-24 12:48:43.641,434.0
2021-09-24 12:48:38.643,434.0
2021-09-24 12:48:33.776,434.0
2021-09-24 12:48:28.642,434.0
2021-09-24 12:48:23.644,434.0
2021-09-24 12:48:18.641,434.0
2021-09-24 12:48:13.784,435.0
2021-09-24 12:48:08.641,436.0
2021-09-24 12:48:03.641,436.0
2021-09-24 12:47:58.642,436.0
2021-09-24 12:47:53.775,436.0
2021-09-24 12:47:48.641,436.0
2021-09-24 12:47:43.643,437.0
2021-09-24 12:47:38.642,437.0
2021-09-24 12:47:33.776,437.0
2021-09-24 12:47:28.641,437.0
2021-09-24 12:47:23.642,437.0
2021-09-24 12:47:18.643,438.0
2021-09-24 12:47:13.776,439.0
2021-09-24 12:47:08.641,438.0
2021-09-24 12:47:03.642,438.0
2021-09-24 12:46:58.642,437.0
2021-09-24 12:46:53.776,436.0
2021-09-24 12:46:48.641,436.0
2021-09-24 12:46:43.641,436.0
2021-09-24 12:46:38.643,436.0
2021-09-24 12:46:33.776,435.0
2021-09-24 12:46:28.641,435.0
2021-09-24 12:46:23.642,435.0
2021-09-24 12:46:18.642,435.0
2021-09-24 12:46:13.823,435.0
