Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
250,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,481 ppm,,,,13/09/2021 09:36:17 a. m.
251,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,481 ppm,,,,13/09/2021 09:36:18 a. m.
252,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,481 ppm,,,,13/09/2021 09:36:19 a. m.
253,,25.3 °C,21.2 °C,19.8 °C,71.9 %,0 ppm,480 ppm,,,,13/09/2021 09:36:20 a. m.
254,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,481 ppm,,,,13/09/2021 09:36:21 a. m.
255,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:22 a. m.
256,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:23 a. m.
257,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:24 a. m.
258,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:25 a. m.
259,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:26 a. m.
260,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:27 a. m.
261,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,478 ppm,,,,13/09/2021 09:36:28 a. m.
262,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,478 ppm,,,,13/09/2021 09:36:29 a. m.
263,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,477 ppm,,,,13/09/2021 09:36:30 a. m.
264,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,477 ppm,,,,13/09/2021 09:36:31 a. m.
265,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:32 a. m.
266,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:33 a. m.
267,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,481 ppm,,,,13/09/2021 09:36:34 a. m.
268,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,481 ppm,,,,13/09/2021 09:36:35 a. m.
269,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:36 a. m.
