Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
50,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,722 ppm,,,,01/07/2021 03:52:29 p. m.
51,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,729 ppm,,,,01/07/2021 03:52:44 p. m.
52,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,728 ppm,,,,01/07/2021 03:52:59 p. m.
53,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,728 ppm,,,,01/07/2021 03:53:14 p. m.
54,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,723 ppm,,,,01/07/2021 03:53:29 p. m.
55,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,719 ppm,,,,01/07/2021 03:53:44 p. m.
56,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,717 ppm,,,,01/07/2021 03:53:59 p. m.
57,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,722 ppm,,,,01/07/2021 03:54:14 p. m.
58,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,725 ppm,,,,01/07/2021 03:54:29 p. m.
59,,26.3 °C,22.1 °C,20.7 °C,71.4 %,1 ppm,733 ppm,,,,01/07/2021 03:54:44 p. m.
60,,26.3 °C,22.1 °C,20.7 °C,71.5 %,1 ppm,732 ppm,,,,01/07/2021 03:54:59 p. m.
61,,26.4 °C,22.2 °C,20.8 °C,71.4 %,1 ppm,738 ppm,,,,01/07/2021 03:55:14 p. m.
62,,26.4 °C,22.2 °C,20.8 °C,71.5 %,1 ppm,730 ppm,,,,01/07/2021 03:55:29 p. m.
63,,26.4 °C,22.2 °C,20.8 °C,71.4 %,1 ppm,731 ppm,,,,01/07/2021 03:55:44 p. m.
64,,26.4 °C,22.2 °C,20.8 °C,71.4 %,1 ppm,731 ppm,,,,01/07/2021 03:55:59 p. m.
65,,26.4 °C,22.2 °C,20.8 °C,71.4 %,1 ppm,741 ppm,,,,01/07/2021 03:56:14 p. m.
66,,26.4 °C,22.2 °C,20.8 °C,71.4 %,1 ppm,741 ppm,,,,01/07/2021 03:56:29 p. m.
67,,26.4 °C,22.1 °C,20.7 °C,71.4 %,1 ppm,742 ppm,,,,01/07/2021 03:56:44 p. m.
68,,26.4 °C,22.1 °C,20.7 °C,71.4 %,1 ppm,737 ppm,,,,01/07/2021 03:56:59 p. m.
69,,26.4 °C,22.1 °C,20.7 °C,71.4 %,1 ppm,726 ppm,,,,01/07/2021 03:57:14 p. m.
70,,26.4 °C,22.1 °C,20.7 °C,71.4 %,1 ppm,723 ppm,,,,01/07/2021 03:57:29 p. m.
71,,26.4 °C,22.1 °C,20.7 °C,71.3 %,1 ppm,738 ppm,,,,01/07/2021 03:57:44 p. m.
72,,26.4 °C,22.1 °C,20.7 °C,71.3 %,1 ppm,737 ppm,,,,01/07/2021 03:57:59 p. m.
73,,26.4 °C,22.1 °C,20.7 °C,71.3 %,1 ppm,739 ppm,,,,01/07/2021 03:58:14 p. m.
74,,26.4 °C,22.1 °C,20.7 °C,71.3 %,1 ppm,744 ppm,,,,01/07/2021 03:58:29 p. m.
75,,26.4 °C,22.1 °C,20.7 °C,71.3 %,1 ppm,751 ppm,,,,01/07/2021 03:58:44 p. m.
76,,26.4 °C,22.1 °C,20.7 °C,71.3 %,1 ppm,760 ppm,,,,01/07/2021 03:58:59 p. m.
77,,26.4 °C,22.1 °C,20.7 °C,71.3 %,1 ppm,747 ppm,,,,01/07/2021 03:59:14 p. m.
78,,26.4 °C,22.1 °C,20.7 °C,71.2 %,1 ppm,745 ppm,,,,01/07/2021 03:59:29 p. m.
79,,26.4 °C,22.1 °C,20.7 °C,71.2 %,1 ppm,744 ppm,,,,01/07/2021 03:59:44 p. m.
80,,26.4 °C,22.1 °C,20.7 °C,71.2 %,1 ppm,749 ppm,,,,01/07/2021 03:59:59 p. m.
81,,26.5 °C,22.2 °C,20.8 °C,71.2 %,1 ppm,747 ppm,,,,01/07/2021 04:00:14 p. m.
82,,26.5 °C,22.2 °C,20.8 °C,71.2 %,1 ppm,748 ppm,,,,01/07/2021 04:00:29 p. m.
83,,26.5 °C,22.2 °C,20.8 °C,71.2 %,1 ppm,741 ppm,,,,01/07/2021 04:00:44 p. m.
84,,26.5 °C,22.2 °C,20.8 °C,71.2 %,1 ppm,753 ppm,,,,01/07/2021 04:00:59 p. m.
85,,26.5 °C,22.2 °C,20.8 °C,71.1 %,1 ppm,758 ppm,,,,01/07/2021 04:01:14 p. m.
86,,26.5 °C,22.2 °C,20.8 °C,71.1 %,1 ppm,757 ppm,,,,01/07/2021 04:01:29 p. m.
87,,26.5 °C,22.2 °C,20.8 °C,71.2 %,1 ppm,767 ppm,,,,01/07/2021 04:01:44 p. m.
88,,26.5 °C,22.2 °C,20.8 °C,71.1 %,1 ppm,773 ppm,,,,01/07/2021 04:01:59 p. m.
89,,26.5 °C,22.2 °C,20.8 °C,71.1 %,1 ppm,763 ppm,,,,01/07/2021 04:02:14 p. m.
