Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
50,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,586 ppm,,,,30/06/2021 01:14:08 p. m.
51,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,583 ppm,,,,30/06/2021 01:14:13 p. m.
52,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,586 ppm,,,,30/06/2021 01:14:18 p. m.
53,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,584 ppm,,,,30/06/2021 01:14:23 p. m.
54,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,583 ppm,,,,30/06/2021 01:14:28 p. m.
55,,25.4 °C,20.9 °C,19.2 °C,68.7 %,0 ppm,585 ppm,,,,30/06/2021 01:14:33 p. m.
56,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,584 ppm,,,,30/06/2021 01:14:38 p. m.
57,,25.4 °C,20.9 °C,19.2 °C,68.7 %,0 ppm,588 ppm,,,,30/06/2021 01:14:43 p. m.
58,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,590 ppm,,,,30/06/2021 01:14:48 p. m.
59,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,592 ppm,,,,30/06/2021 01:14:53 p. m.
60,,25.5 °C,21.0 °C,19.3 °C,68.6 %,1 ppm,598 ppm,,,,30/06/2021 01:14:58 p. m.
61,,25.4 °C,20.9 °C,19.2 °C,68.7 %,0 ppm,603 ppm,,,,30/06/2021 01:15:03 p. m.
62,,25.5 °C,21.0 °C,19.3 °C,68.6 %,0 ppm,609 ppm,,,,30/06/2021 01:15:08 p. m.
63,,25.5 °C,21.0 °C,19.3 °C,68.6 %,1 ppm,609 ppm,,,,30/06/2021 01:15:13 p. m.
64,,25.5 °C,21.0 °C,19.3 °C,68.6 %,1 ppm,612 ppm,,,,30/06/2021 01:15:18 p. m.
65,,25.5 °C,21.0 °C,19.3 °C,68.6 %,1 ppm,610 ppm,,,,30/06/2021 01:15:23 p. m.
