Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
50,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,434 ppm,,,,23/09/2021 01:20:49 p. m.
51,,25.0 °C,19.2 °C,16.7 °C,60.3 %,1 ppm,433 ppm,,,,23/09/2021 01:20:50 p. m.
52,,25.0 °C,19.2 °C,16.7 °C,60.3 %,1 ppm,433 ppm,,,,23/09/2021 01:20:51 p. m.
53,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,433 ppm,,,,23/09/2021 01:20:52 p. m.
54,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,433 ppm,,,,23/09/2021 01:20:53 p. m.
55,,25.0 °C,19.2 °C,16.7 °C,60.3 %,1 ppm,430 ppm,,,,23/09/2021 01:20:54 p. m.
56,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,430 ppm,,,,23/09/2021 01:20:55 p. m.
57,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,428 ppm,,,,23/09/2021 01:20:56 p. m.
58,,25.0 °C,19.2 °C,16.7 °C,60.3 %,1 ppm,428 ppm,,,,23/09/2021 01:20:57 p. m.
59,,25.0 °C,19.2 °C,16.7 °C,60.3 %,1 ppm,427 ppm,,,,23/09/2021 01:20:58 p. m.
60,,25.0 °C,19.2 °C,16.7 °C,60.3 %,1 ppm,427 ppm,,,,23/09/2021 01:20:59 p. m.
61,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,426 ppm,,,,23/09/2021 01:21:00 p. m.
62,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,426 ppm,,,,23/09/2021 01:21:01 p. m.
63,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,426 ppm,,,,23/09/2021 01:21:02 p. m.
64,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,426 ppm,,,,23/09/2021 01:21:03 p. m.
65,,25.0 °C,19.2 °C,16.7 °C,60.2 %,0 ppm,424 ppm,,,,23/09/2021 01:21:04 p. m.
66,,25.0 °C,19.2 °C,16.7 °C,60.2 %,1 ppm,424 ppm,,,,23/09/2021 01:21:05 p. m.
67,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:06 p. m.
68,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:07 p. m.
69,,25.0 °C,19.2 °C,16.7 °C,60.0 %,1 ppm,420 ppm,,,,23/09/2021 01:21:08 p. m.
70,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,420 ppm,,,,23/09/2021 01:21:09 p. m.
71,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,420 ppm,,,,23/09/2021 01:21:10 p. m.
72,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,420 ppm,,,,23/09/2021 01:21:11 p. m.
73,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,419 ppm,,,,23/09/2021 01:21:12 p. m.
74,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,419 ppm,,,,23/09/2021 01:21:13 p. m.
75,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,417 ppm,,,,23/09/2021 01:21:14 p. m.
76,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,417 ppm,,,,23/09/2021 01:21:15 p. m.
77,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,419 ppm,,,,23/09/2021 01:21:16 p. m.
78,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,419 ppm,,,,23/09/2021 01:21:17 p. m.
79,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,422 ppm,,,,23/09/2021 01:21:18 p. m.
80,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,422 ppm,,,,23/09/2021 01:21:19 p. m.
81,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,421 ppm,,,,23/09/2021 01:21:20 p. m.
82,,25.0 °C,19.1 °C,16.7 °C,60.0 %,0 ppm,421 ppm,,,,23/09/2021 01:21:21 p. m.
83,,25.0 °C,19.1 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:22 p. m.
84,,25.0 °C,19.1 °C,16.7 °C,60.1 %,1 ppm,421 ppm,,,,23/09/2021 01:21:23 p. m.
85,,25.0 °C,19.1 °C,16.7 °C,60.0 %,1 ppm,422 ppm,,,,23/09/2021 01:21:24 p. m.
86,,25.0 °C,19.1 °C,16.7 °C,60.0 %,0 ppm,422 ppm,,,,23/09/2021 01:21:25 p. m.
87,,25.0 °C,19.1 °C,16.7 °C,60.0 %,0 ppm,422 ppm,,,,23/09/2021 01:21:26 p. m.
88,,25.0 °C,19.1 °C,16.7 °C,60.0 %,0 ppm,421 ppm,,,,23/09/2021 01:21:27 p. m.
89,,25.0 °C,19.2 °C,16.7 °C,60.0 %,1 ppm,421 ppm,,,,23/09/2021 01:21:28 p. m.
90,,25.0 °C,19.2 °C,16.7 °C,60.0 %,1 ppm,421 ppm,,,,23/09/2021 01:21:29 p. m.
91,,25.0 °C,19.2 °C,16.7 °C,60.0 %,0 ppm,424 ppm,,,,23/09/2021 01:21:30 p. m.
92,,25.0 °C,19.2 °C,16.7 °C,60.0 %,1 ppm,424 ppm,,,,23/09/2021 01:21:31 p. m.
93,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,424 ppm,,,,23/09/2021 01:21:32 p. m.
94,,25.0 °C,19.2 °C,16.7 °C,60.1 %,1 ppm,424 ppm,,,,23/09/2021 01:21:33 p. m.
95,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,424 ppm,,,,23/09/2021 01:21:34 p. m.
96,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,424 ppm,,,,23/09/2021 01:21:35 p. m.
97,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,424 ppm,,,,23/09/2021 01:21:36 p. m.
98,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,424 ppm,,,,23/09/2021 01:21:37 p. m.
99,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:38 p. m.
100,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:39 p. m.
101,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:40 p. m.
102,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:41 p. m.
103,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:42 p. m.
104,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,421 ppm,,,,23/09/2021 01:21:43 p. m.
105,,25.0 °C,19.2 °C,16.7 °C,60.0 %,1 ppm,424 ppm,,,,23/09/2021 01:21:44 p. m.
106,,25.0 °C,19.2 °C,16.7 °C,60.0 %,1 ppm,424 ppm,,,,23/09/2021 01:21:45 p. m.
107,,25.0 °C,19.2 °C,16.7 °C,60.0 %,0 ppm,426 ppm,,,,23/09/2021 01:21:46 p. m.
108,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,426 ppm,,,,23/09/2021 01:21:47 p. m.
109,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,427 ppm,,,,23/09/2021 01:21:48 p. m.
110,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,427 ppm,,,,23/09/2021 01:21:49 p. m.
111,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,425 ppm,,,,23/09/2021 01:21:50 p. m.
112,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,425 ppm,,,,23/09/2021 01:21:51 p. m.
113,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,424 ppm,,,,23/09/2021 01:21:52 p. m.
114,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,424 ppm,,,,23/09/2021 01:21:53 p. m.
115,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,424 ppm,,,,23/09/2021 01:21:54 p. m.
116,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,424 ppm,,,,23/09/2021 01:21:55 p. m.
117,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,424 ppm,,,,23/09/2021 01:21:56 p. m.
118,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,424 ppm,,,,23/09/2021 01:21:57 p. m.
119,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,424 ppm,,,,23/09/2021 01:21:58 p. m.
120,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,424 ppm,,,,23/09/2021 01:21:59 p. m.
121,,25.0 °C,19.1 °C,16.6 °C,59.9 %,1 ppm,424 ppm,,,,23/09/2021 01:22:00 p. m.
122,,25.0 °C,19.1 °C,16.6 °C,59.9 %,1 ppm,424 ppm,,,,23/09/2021 01:22:01 p. m.
123,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,423 ppm,,,,23/09/2021 01:22:02 p. m.
124,,25.0 °C,19.1 °C,16.6 °C,59.9 %,1 ppm,423 ppm,,,,23/09/2021 01:22:03 p. m.
125,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,424 ppm,,,,23/09/2021 01:22:04 p. m.
126,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,424 ppm,,,,23/09/2021 01:22:05 p. m.
127,,25.0 °C,19.1 °C,16.6 °C,59.9 %,1 ppm,424 ppm,,,,23/09/2021 01:22:06 p. m.
128,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,424 ppm,,,,23/09/2021 01:22:07 p. m.
129,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,424 ppm,,,,23/09/2021 01:22:08 p. m.
130,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,424 ppm,,,,23/09/2021 01:22:09 p. m.
131,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,421 ppm,,,,23/09/2021 01:22:10 p. m.
132,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,421 ppm,,,,23/09/2021 01:22:11 p. m.
133,,25.0 °C,19.1 °C,16.6 °C,60.2 %,0 ppm,420 ppm,,,,23/09/2021 01:22:12 p. m.
134,,25.0 °C,19.2 °C,16.7 °C,60.2 %,1 ppm,420 ppm,,,,23/09/2021 01:22:13 p. m.
135,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,421 ppm,,,,23/09/2021 01:22:14 p. m.
