ts,sen0220
2021-09-13 18:59:57.488,426.0
2021-09-13 18:59:53.023,427.0
2021-09-13 18:59:47.491,425.0
2021-09-13 18:59:43.023,425.0
2021-09-13 18:59:37.488,426.0
2021-09-13 18:59:33.022,427.0
2021-09-13 18:59:27.488,428.0
2021-09-13 18:59:23.022,427.0
2021-09-13 18:59:17.487,426.0
2021-09-13 18:59:13.024,426.0
2021-09-13 18:59:07.488,426.0
2021-09-13 18:59:03.024,425.0
2021-09-13 18:58:57.488,425.0
2021-09-13 18:58:53.023,425.0
2021-09-13 18:58:47.486,424.0
2021-09-13 18:58:43.023,424.0
2021-09-13 18:58:37.488,425.0
2021-09-13 18:58:33.021,424.0
2021-09-13 18:58:27.488,424.0
2021-09-13 18:58:23.025,424.0
2021-09-13 18:58:17.489,424.0
2021-09-13 18:58:13.024,423.0
2021-09-13 18:58:07.490,424.0
2021-09-13 18:58:03.027,424.0
2021-09-13 18:57:57.486,424.0
2021-09-13 18:57:53.024,424.0
2021-09-13 18:57:47.492,425.0
2021-09-13 18:57:43.027,426.0
2021-09-13 18:57:37.489,426.0
2021-09-13 18:57:33.023,426.0
2021-09-13 18:57:27.487,425.0
2021-09-13 18:57:23.020,426.0
2021-09-13 18:57:17.488,427.0
2021-09-13 18:57:13.024,426.0
2021-09-13 18:57:07.489,426.0
2021-09-13 18:57:03.021,426.0
2021-09-13 18:56:57.489,426.0
2021-09-13 18:56:53.025,426.0
2021-09-13 18:56:47.493,426.0
2021-09-13 18:56:43.024,425.0
2021-09-13 18:56:37.487,425.0
2021-09-13 18:56:33.024,424.0
2021-09-13 18:56:27.488,424.0
2021-09-13 18:56:23.024,424.0
2021-09-13 18:56:17.493,424.0
2021-09-13 18:56:13.024,423.0
2021-09-13 18:56:07.490,423.0
2021-09-13 18:56:03.023,423.0
2021-09-13 18:55:57.491,424.0
2021-09-13 18:55:53.024,424.0
2021-09-13 18:55:47.489,423.0
2021-09-13 18:55:43.024,423.0
2021-09-13 18:55:37.487,422.0
2021-09-13 18:55:33.021,422.0
2021-09-13 18:55:27.488,422.0
2021-09-13 18:55:23.023,423.0
2021-09-13 18:55:17.488,422.0
2021-09-13 18:55:13.021,422.0
2021-09-13 18:55:07.489,423.0
2021-09-13 18:55:03.024,422.0
2021-09-13 18:54:57.487,423.0
2021-09-13 18:54:53.020,423.0
2021-09-13 18:54:47.488,424.0
2021-09-13 18:54:43.024,425.0
2021-09-13 18:54:37.488,424.0
2021-09-13 18:54:33.022,424.0
2021-09-13 18:54:27.487,424.0
2021-09-13 18:54:23.024,424.0
2021-09-13 18:54:17.488,424.0
2021-09-13 18:54:13.024,424.0
2021-09-13 18:54:07.488,424.0
2021-09-13 18:54:03.023,424.0
2021-09-13 18:53:57.491,424.0
2021-09-13 18:53:53.024,423.0
2021-09-13 18:53:47.489,423.0
2021-09-13 18:53:43.025,422.0
2021-09-13 18:53:37.490,422.0
2021-09-13 18:53:33.023,421.0
2021-09-13 18:53:27.489,421.0
2021-09-13 18:53:23.023,422.0
2021-09-13 18:53:17.487,422.0
2021-09-13 18:53:13.024,422.0
2021-09-13 18:53:07.488,422.0
2021-09-13 18:53:03.022,422.0
2021-09-13 18:52:57.488,422.0
2021-09-13 18:52:53.023,422.0
2021-09-13 18:52:47.489,422.0
2021-09-13 18:52:43.025,422.0
2021-09-13 18:52:37.491,422.0
2021-09-13 18:52:33.025,422.0
2021-09-13 18:52:27.487,423.0
2021-09-13 18:52:23.029,423.0
2021-09-13 18:52:17.489,422.0
2021-09-13 18:52:13.024,422.0
2021-09-13 18:52:07.488,423.0
2021-09-13 18:52:03.023,423.0
2021-09-13 18:51:57.488,423.0
2021-09-13 18:51:53.025,423.0
2021-09-13 18:51:47.493,422.0
2021-09-13 18:51:43.024,422.0
2021-09-13 18:51:37.504,422.0
2021-09-13 18:51:33.024,421.0
2021-09-13 18:51:27.489,422.0
2021-09-13 18:51:23.025,422.0
2021-09-13 18:51:17.487,422.0
2021-09-13 18:51:13.024,422.0
2021-09-13 18:51:07.488,421.0
2021-09-13 18:51:03.022,422.0
2021-09-13 18:50:57.487,422.0
2021-09-13 18:50:53.024,422.0
2021-09-13 18:50:47.492,423.0
2021-09-13 18:50:43.024,423.0
2021-09-13 18:50:37.488,423.0
2021-09-13 18:50:33.023,423.0
2021-09-13 18:50:27.488,424.0
2021-09-13 18:50:23.026,424.0
2021-09-13 18:50:17.492,425.0
2021-09-13 18:50:13.025,423.0
2021-09-13 18:50:07.489,423.0
2021-09-13 18:50:03.019,423.0
2021-09-13 18:49:57.488,424.0
2021-09-13 18:49:53.024,423.0
2021-09-13 18:49:47.488,424.0
2021-09-13 18:49:43.024,424.0
2021-09-13 18:49:37.488,424.0
2021-09-13 18:49:33.023,424.0
2021-09-13 18:49:27.491,424.0
2021-09-13 18:49:23.026,424.0
2021-09-13 18:49:17.490,423.0
2021-09-13 18:49:13.025,423.0
2021-09-13 18:49:07.496,423.0
2021-09-13 18:49:03.022,422.0
2021-09-13 18:48:57.490,423.0
2021-09-13 18:48:53.022,423.0
2021-09-13 18:48:47.489,423.0
2021-09-13 18:48:43.024,423.0
2021-09-13 18:48:37.489,423.0
2021-09-13 18:48:33.025,423.0
2021-09-13 18:48:27.489,423.0
2021-09-13 18:48:23.026,422.0
2021-09-13 18:48:17.489,421.0
2021-09-13 18:48:13.025,421.0
2021-09-13 18:48:07.490,421.0
2021-09-13 18:48:03.024,422.0
2021-09-13 18:47:57.489,422.0
2021-09-13 18:47:53.021,421.0
2021-09-13 18:47:47.489,421.0
2021-09-13 18:47:43.028,420.0
2021-09-13 18:47:37.489,420.0
2021-09-13 18:47:33.021,421.0
2021-09-13 18:47:27.491,421.0
2021-09-13 18:47:23.023,421.0
2021-09-13 18:47:17.488,421.0
2021-09-13 18:47:13.021,420.0
2021-09-13 18:47:07.490,421.0
2021-09-13 18:47:03.025,421.0
2021-09-13 18:46:57.488,422.0
2021-09-13 18:46:53.024,422.0
2021-09-13 18:46:47.489,422.0
2021-09-13 18:46:43.024,421.0
2021-09-13 18:46:37.490,422.0
2021-09-13 18:46:33.024,422.0
2021-09-13 18:46:27.488,423.0
2021-09-13 18:46:23.026,422.0
2021-09-13 18:46:17.489,422.0
2021-09-13 18:46:13.024,422.0
2021-09-13 18:46:07.488,422.0
2021-09-13 18:46:03.025,422.0
2021-09-13 18:45:57.490,422.0
2021-09-13 18:45:53.026,422.0
2021-09-13 18:45:47.490,421.0
2021-09-13 18:45:43.026,421.0
2021-09-13 18:45:37.489,421.0
2021-09-13 18:45:33.025,421.0
2021-09-13 18:45:27.491,421.0
2021-09-13 18:45:23.024,421.0
2021-09-13 18:45:17.491,422.0
2021-09-13 18:45:13.024,422.0
2021-09-13 18:45:07.489,422.0
2021-09-13 18:45:03.026,422.0
2021-09-13 18:44:57.490,423.0
2021-09-13 18:44:53.030,423.0
2021-09-13 18:44:47.490,423.0
2021-09-13 18:44:43.030,423.0
2021-09-13 18:44:37.489,423.0
2021-09-13 18:44:33.025,423.0
2021-09-13 18:44:27.490,423.0
2021-09-13 18:44:23.021,423.0
2021-09-13 18:44:17.490,423.0
2021-09-13 18:44:13.036,422.0
2021-09-13 18:44:07.488,422.0
2021-09-13 18:44:03.024,421.0
2021-09-13 18:43:57.489,422.0
2021-09-13 18:43:53.024,423.0
2021-09-13 18:43:47.489,424.0
2021-09-13 18:43:43.025,425.0
2021-09-13 18:43:37.490,425.0
2021-09-13 18:43:33.025,425.0
2021-09-13 18:43:27.490,424.0
2021-09-13 18:43:23.027,424.0
2021-09-13 18:43:17.490,424.0
2021-09-13 18:43:13.025,424.0
2021-09-13 18:43:07.490,423.0
2021-09-13 18:43:03.025,422.0
2021-09-13 18:42:57.489,422.0
2021-09-13 18:42:53.026,421.0
2021-09-13 18:42:47.490,421.0
2021-09-13 18:42:43.026,422.0
2021-09-13 18:42:37.494,422.0
2021-09-13 18:42:33.025,422.0
2021-09-13 18:42:27.488,422.0
2021-09-13 18:42:23.025,422.0
