,scd30,sen0220,s8lp,cjmcu811
,633ppm,633ppm,633ppm,633ppm
Variable,,,,
TR+,0 days 00:04:38.559000,0 days 00:08:12.755000,0 days 00:09:04.475000,0 days 00:14:56.082000
M,586.081081081081,645.047619047619,659.1487603305785,4262.24
D_r,633.0433333333333,633.0433333333333,633.0433333333333,633.0433333333333
Error,-46.962252252252256,12.004285714285743,26.105426997245218,3629.1966666666667
