tiempo,fluke
2021-07-26 14:53:00,478.0
2021-07-26 14:53:01,479.0
2021-07-26 14:53:02,479.0
2021-07-26 14:53:03,478.0
2021-07-26 14:53:04,478.0
2021-07-26 14:53:05,479.0
2021-07-26 14:53:06,479.0
2021-07-26 14:53:07,482.0
2021-07-26 14:53:08,482.0
2021-07-26 14:53:09,484.0
2021-07-26 14:53:10,484.0
2021-07-26 14:53:11,484.0
2021-07-26 14:53:12,484.0
2021-07-26 14:53:13,484.0
2021-07-26 14:53:14,484.0
2021-07-26 14:53:15,484.0
2021-07-26 14:53:16,484.0
2021-07-26 14:53:17,484.0
2021-07-26 14:53:18,484.0
2021-07-26 14:53:19,485.0
2021-07-26 14:53:20,485.0
2021-07-26 14:53:21,486.0
2021-07-26 14:53:22,486.0
2021-07-26 14:53:23,487.0
2021-07-26 14:53:24,488.0
2021-07-26 14:53:25,489.0
2021-07-26 14:53:26,489.0
2021-07-26 14:53:27,489.0
2021-07-26 14:53:28,489.0
2021-07-26 14:53:29,489.0
2021-07-26 14:53:30,489.0
2021-07-26 14:53:31,492.0
2021-07-26 14:53:32,492.0
2021-07-26 14:53:33,494.0
2021-07-26 14:53:34,493.0
2021-07-26 14:53:35,494.0
2021-07-26 14:53:36,494.0
2021-07-26 14:53:37,495.0
2021-07-26 14:53:38,495.0
2021-07-26 14:53:39,499.0
2021-07-26 14:53:40,499.0
2021-07-26 14:53:41,501.0
2021-07-26 14:53:42,501.0
2021-07-26 14:53:43,502.0
2021-07-26 14:53:44,502.0
2021-07-26 14:53:45,504.0
2021-07-26 14:53:46,504.0
2021-07-26 14:53:47,505.0
2021-07-26 14:53:48,505.0
2021-07-26 14:53:49,505.0
2021-07-26 14:53:50,505.0
2021-07-26 14:53:51,505.0
2021-07-26 14:53:52,505.0
2021-07-26 14:53:53,505.0
2021-07-26 14:53:54,506.0
2021-07-26 14:53:55,509.0
2021-07-26 14:53:56,509.0
2021-07-26 14:53:57,512.0
2021-07-26 14:53:58,512.0
2021-07-26 14:53:59,514.0
2021-07-26 14:54:00,514.0
2021-07-26 14:54:01,514.0
2021-07-26 14:54:02,514.0
2021-07-26 14:54:03,518.0
2021-07-26 14:54:04,518.0
2021-07-26 14:54:05,519.0
2021-07-26 14:54:06,519.0
2021-07-26 14:54:07,519.0
2021-07-26 14:54:08,519.0
2021-07-26 14:54:09,520.0
2021-07-26 14:54:10,520.0
2021-07-26 14:54:11,521.0
2021-07-26 14:54:12,521.0
2021-07-26 14:54:13,522.0
2021-07-26 14:54:14,523.0
2021-07-26 14:54:15,524.0
2021-07-26 14:54:16,524.0
2021-07-26 14:54:17,526.0
2021-07-26 14:54:18,526.0
2021-07-26 14:54:19,525.0
2021-07-26 14:54:20,525.0
2021-07-26 14:54:21,527.0
2021-07-26 14:54:22,527.0
2021-07-26 14:54:23,528.0
2021-07-26 14:54:24,528.0
2021-07-26 14:54:25,528.0
2021-07-26 14:54:26,528.0
2021-07-26 14:54:27,531.0
2021-07-26 14:54:28,531.0
2021-07-26 14:54:29,534.0
2021-07-26 14:54:30,534.0
2021-07-26 14:54:31,535.0
2021-07-26 14:54:32,535.0
2021-07-26 14:54:33,538.0
2021-07-26 14:54:34,538.0
2021-07-26 14:54:35,536.0
2021-07-26 14:54:36,536.0
2021-07-26 14:54:37,535.0
2021-07-26 14:54:38,535.0
2021-07-26 14:54:39,536.0
2021-07-26 14:54:40,536.0
2021-07-26 14:54:41,537.0
2021-07-26 14:54:42,537.0
2021-07-26 14:54:43,537.0
2021-07-26 14:54:44,538.0
2021-07-26 14:54:45,538.0
2021-07-26 14:54:46,538.0
2021-07-26 14:54:47,540.0
2021-07-26 14:54:48,540.0
2021-07-26 14:54:49,541.0
2021-07-26 14:54:50,541.0
2021-07-26 14:54:51,541.0
2021-07-26 14:54:52,541.0
2021-07-26 14:54:53,543.0
2021-07-26 14:54:54,543.0
2021-07-26 14:54:55,543.0
2021-07-26 14:54:56,543.0
2021-07-26 14:54:57,543.0
2021-07-26 14:54:58,543.0
2021-07-26 14:54:59,543.0
2021-07-26 14:55:00,543.0
2021-07-26 14:55:01,544.0
2021-07-26 14:55:02,544.0
2021-07-26 14:55:03,543.0
2021-07-26 14:55:04,544.0
2021-07-26 14:55:05,544.0
2021-07-26 14:55:06,544.0
2021-07-26 14:55:07,540.0
2021-07-26 14:55:08,540.0
2021-07-26 14:55:09,536.0
2021-07-26 14:55:10,536.0
2021-07-26 14:55:11,535.0
2021-07-26 14:55:12,535.0
2021-07-26 14:55:13,533.0
2021-07-26 14:55:14,532.0
2021-07-26 14:55:15,531.0
2021-07-26 14:55:16,531.0
2021-07-26 14:55:17,531.0
2021-07-26 14:55:18,531.0
2021-07-26 14:55:19,532.0
2021-07-26 14:55:20,533.0
2021-07-26 14:55:21,533.0
2021-07-26 14:55:22,534.0
2021-07-26 14:55:23,534.0
2021-07-26 14:55:24,532.0
2021-07-26 14:55:25,532.0
2021-07-26 14:55:26,530.0
2021-07-26 14:55:27,530.0
2021-07-26 14:55:28,533.0
2021-07-26 14:55:29,533.0
2021-07-26 14:55:30,533.0
2021-07-26 14:55:31,533.0
2021-07-26 14:55:32,532.0
2021-07-26 14:55:33,532.0
2021-07-26 14:55:34,533.0
2021-07-26 14:55:35,533.0
2021-07-26 14:55:36,537.0
2021-07-26 14:55:37,537.0
2021-07-26 14:55:38,537.0
2021-07-26 14:55:39,538.0
2021-07-26 14:55:40,538.0
2021-07-26 14:55:41,538.0
2021-07-26 14:55:42,538.0
2021-07-26 14:55:43,538.0
2021-07-26 14:55:44,537.0
2021-07-26 14:55:45,537.0
2021-07-26 14:55:46,538.0
2021-07-26 14:55:47,538.0
2021-07-26 14:55:48,539.0
2021-07-26 14:55:49,540.0
2021-07-26 14:55:50,541.0
2021-07-26 14:55:51,541.0
2021-07-26 14:55:52,543.0
2021-07-26 14:55:53,543.0
2021-07-26 14:55:54,543.0
2021-07-26 14:55:55,543.0
2021-07-26 14:55:56,544.0
2021-07-26 14:55:57,544.0
2021-07-26 14:55:58,545.0
2021-07-26 14:55:59,545.0
2021-07-26 14:56:00,545.0
2021-07-26 14:56:01,545.0
2021-07-26 14:56:02,545.0
2021-07-26 14:56:03,545.0
2021-07-26 14:56:04,546.0
2021-07-26 14:56:05,546.0
2021-07-26 14:56:06,546.0
2021-07-26 14:56:07,546.0
2021-07-26 14:56:08,545.0
2021-07-26 14:56:09,545.0
2021-07-26 14:56:10,546.0
2021-07-26 14:56:11,546.0
2021-07-26 14:56:12,549.0
2021-07-26 14:56:13,549.0
2021-07-26 14:56:14,547.0
2021-07-26 14:56:15,547.0
2021-07-26 14:56:16,544.0
2021-07-26 14:56:17,544.0
2021-07-26 14:56:18,543.0
2021-07-26 14:56:19,543.0
2021-07-26 14:56:20,543.0
2021-07-26 14:56:21,543.0
2021-07-26 14:56:22,545.0
2021-07-26 14:56:23,545.0
2021-07-26 14:56:24,547.0
2021-07-26 14:56:25,547.0
2021-07-26 14:56:26,549.0
2021-07-26 14:56:27,549.0
2021-07-26 14:56:28,550.0
2021-07-26 14:56:29,549.0
2021-07-26 14:56:30,550.0
2021-07-26 14:56:31,550.0
2021-07-26 14:56:32,551.0
2021-07-26 14:56:33,551.0
2021-07-26 14:56:34,553.0
2021-07-26 14:56:35,553.0
2021-07-26 14:56:36,556.0
2021-07-26 14:56:37,556.0
2021-07-26 14:56:38,557.0
2021-07-26 14:56:39,556.0
2021-07-26 14:56:40,556.0
2021-07-26 14:56:41,556.0
2021-07-26 14:56:42,555.0
2021-07-26 14:56:43,555.0
2021-07-26 14:56:44,555.0
2021-07-26 14:56:45,555.0
2021-07-26 14:56:46,555.0
2021-07-26 14:56:47,555.0
2021-07-26 14:56:48,554.0
2021-07-26 14:56:49,555.0
2021-07-26 14:56:50,553.0
2021-07-26 14:56:51,553.0
2021-07-26 14:56:52,553.0
2021-07-26 14:56:53,553.0
2021-07-26 14:56:54,553.0
2021-07-26 14:56:55,553.0
2021-07-26 14:56:56,556.0
2021-07-26 14:56:57,556.0
2021-07-26 14:56:58,558.0
2021-07-26 14:56:59,558.0
2021-07-26 14:57:00,560.0
2021-07-26 14:57:01,560.0
2021-07-26 14:57:02,558.0
2021-07-26 14:57:03,558.0
2021-07-26 14:57:04,558.0
2021-07-26 14:57:05,558.0
2021-07-26 14:57:06,560.0
2021-07-26 14:57:07,560.0
