,scd30,sen0220,s8lp,cjmcu811
,515ppm,515ppm,515ppm,515ppm
Variable,,,,
TR+,0 days 00:00:08.195000,0 days 00:16:43.895000,0 days 00:26:57.822000,0 days 00:22:27.045000
M,488.5405405405405,535.7380952380952,549.7377049180328,3610.1
D_r,515.6566666666666,515.6566666666666,515.6566666666666,515.6566666666666
Error,-27.11612612612612,20.081428571428546,34.08103825136618,3094.443333333333
