,scd30,sen0220,s8lp,cjmcu811
,888ppm,888ppm,888ppm,888ppm
Variable,,,,
TR+,0 days 00:09:27.765000,0 days 00:25:01.633000,0 days 00:32:57.611000,0 days 00:26:00.153000
M,852.9,832.7,902.6363636363636,948.9090909090909
D_r,888.65,888.65,888.65,888.65
Error,-35.75,-55.94999999999993,13.986363636363649,60.2590909090909
