sensor,concentracion,Error,TR+,M,D_r
scd30,755ppm,41.852101449275324,1.3655333333333333,713.536231884058,755.3883333333333
sen0220,755ppm,1.5045238095237892,1.9685000000000001,756.8928571428571,755.3883333333333
s8lp,755ppm,25.041418732782404,1.6650166666666668,780.4297520661157,755.3883333333333
cjmcu811,755ppm,4121.201666666667,8.218300000000001,4876.59,755.3883333333333
