Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.6 °C,20.9 °C,19.1 °C,67.5 %,1 ppm,438 ppm,,,,30/06/2021 01:49:02 p. m.
2,,25.6 °C,20.9 °C,19.1 °C,67.6 %,1 ppm,434 ppm,,,,30/06/2021 01:49:07 p. m.
3,,25.6 °C,20.9 °C,19.1 °C,67.6 %,1 ppm,432 ppm,,,,30/06/2021 01:49:12 p. m.
4,,25.6 °C,20.9 °C,19.1 °C,67.6 %,1 ppm,434 ppm,,,,30/06/2021 01:49:17 p. m.
5,,25.6 °C,20.9 °C,19.1 °C,67.6 %,1 ppm,427 ppm,,,,30/06/2021 01:49:22 p. m.
6,,25.6 °C,20.9 °C,19.1 °C,67.6 %,1 ppm,430 ppm,,,,30/06/2021 01:49:27 p. m.
7,,25.7 °C,21.0 °C,19.2 °C,67.7 %,1 ppm,431 ppm,,,,30/06/2021 01:49:32 p. m.
8,,25.6 °C,20.9 °C,19.1 °C,67.7 %,1 ppm,432 ppm,,,,30/06/2021 01:49:37 p. m.
9,,25.7 °C,21.0 °C,19.2 °C,67.7 %,1 ppm,436 ppm,,,,30/06/2021 01:49:42 p. m.
10,,25.7 °C,21.0 °C,19.2 °C,67.7 %,1 ppm,444 ppm,,,,30/06/2021 01:49:47 p. m.
11,,25.7 °C,21.0 °C,19.2 °C,67.6 %,0 ppm,459 ppm,,,,30/06/2021 01:49:52 p. m.
12,,25.7 °C,21.0 °C,19.2 °C,67.6 %,1 ppm,465 ppm,,,,30/06/2021 01:49:57 p. m.
13,,25.7 °C,21.0 °C,19.2 °C,67.6 %,1 ppm,483 ppm,,,,30/06/2021 01:50:02 p. m.
14,,25.7 °C,21.0 °C,19.2 °C,67.6 %,1 ppm,497 ppm,,,,30/06/2021 01:50:07 p. m.
15,,25.7 °C,21.0 °C,19.2 °C,67.6 %,1 ppm,505 ppm,,,,30/06/2021 01:50:12 p. m.
16,,25.7 °C,21.0 °C,19.2 °C,67.7 %,1 ppm,522 ppm,,,,30/06/2021 01:50:17 p. m.
17,,25.7 °C,21.0 °C,19.2 °C,67.7 %,1 ppm,532 ppm,,,,30/06/2021 01:50:22 p. m.
18,,25.7 °C,21.0 °C,19.2 °C,67.7 %,1 ppm,544 ppm,,,,30/06/2021 01:50:27 p. m.
19,,25.7 °C,21.0 °C,19.2 °C,67.7 %,1 ppm,552 ppm,,,,30/06/2021 01:50:32 p. m.
