Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
372,,26.6 °C,19.2 °C,16.1 °C,52.8 %,1 ppm,439 ppm,,,,18/10/2021 06:34:29 p. m.
373,,26.6 °C,19.4 °C,16.3 °C,53.4 %,1 ppm,429 ppm,,,,18/10/2021 06:35:29 p. m.
374,,26.6 °C,19.4 °C,16.3 °C,53.6 %,1 ppm,443 ppm,,,,18/10/2021 06:36:29 p. m.
375,,26.6 °C,19.4 °C,16.4 °C,53.7 %,1 ppm,449 ppm,,,,18/10/2021 06:37:29 p. m.
376,,26.6 °C,19.4 °C,16.4 °C,53.8 %,1 ppm,447 ppm,,,,18/10/2021 06:38:29 p. m.
377,,26.5 °C,19.4 °C,16.4 °C,54.0 %,1 ppm,444 ppm,,,,18/10/2021 06:39:29 p. m.
378,,26.5 °C,19.4 °C,16.4 °C,53.9 %,1 ppm,453 ppm,,,,18/10/2021 06:40:29 p. m.
379,,26.5 °C,19.4 °C,16.4 °C,53.9 %,1 ppm,455 ppm,,,,18/10/2021 06:41:29 p. m.
380,,26.5 °C,19.4 °C,16.4 °C,54.1 %,1 ppm,446 ppm,,,,18/10/2021 06:42:29 p. m.
381,,26.5 °C,19.2 °C,16.1 °C,53.1 %,1 ppm,450 ppm,,,,18/10/2021 06:43:29 p. m.
382,,26.5 °C,19.4 °C,16.4 °C,54.1 %,1 ppm,438 ppm,,,,18/10/2021 06:44:29 p. m.
383,,26.5 °C,19.4 °C,16.5 °C,54.3 %,1 ppm,450 ppm,,,,18/10/2021 06:45:29 p. m.
384,,26.5 °C,19.4 °C,16.4 °C,54.2 %,1 ppm,454 ppm,,,,18/10/2021 06:46:29 p. m.
385,,26.5 °C,19.4 °C,16.4 °C,54.2 %,1 ppm,460 ppm,,,,18/10/2021 06:47:29 p. m.
386,,26.5 °C,19.4 °C,16.5 °C,54.3 %,1 ppm,471 ppm,,,,18/10/2021 06:48:29 p. m.
387,,26.5 °C,19.4 °C,16.5 °C,54.4 %,1 ppm,458 ppm,,,,18/10/2021 06:49:29 p. m.
388,,26.5 °C,19.5 °C,16.5 °C,54.5 %,1 ppm,459 ppm,,,,18/10/2021 06:50:29 p. m.
389,,26.5 °C,19.5 °C,16.6 °C,54.6 %,1 ppm,460 ppm,,,,18/10/2021 06:51:29 p. m.
390,,26.5 °C,19.5 °C,16.6 °C,54.6 %,1 ppm,472 ppm,,,,18/10/2021 06:52:29 p. m.
391,,26.5 °C,19.5 °C,16.5 °C,54.5 %,1 ppm,469 ppm,,,,18/10/2021 06:53:29 p. m.
392,,26.5 °C,19.5 °C,16.5 °C,54.5 %,1 ppm,464 ppm,,,,18/10/2021 06:54:29 p. m.
393,,26.5 °C,19.5 °C,16.6 °C,54.7 %,1 ppm,453 ppm,,,,18/10/2021 06:55:29 p. m.
394,,26.5 °C,19.5 °C,16.6 °C,54.7 %,1 ppm,476 ppm,,,,18/10/2021 06:56:29 p. m.
395,,26.5 °C,19.5 °C,16.6 °C,54.9 %,1 ppm,468 ppm,,,,18/10/2021 06:57:29 p. m.
396,,26.5 °C,19.5 °C,16.6 °C,54.8 %,1 ppm,474 ppm,,,,18/10/2021 06:58:29 p. m.
397,,26.5 °C,19.6 °C,16.7 °C,55.0 %,1 ppm,477 ppm,,,,18/10/2021 06:59:29 p. m.
398,,26.5 °C,19.5 °C,16.6 °C,54.8 %,1 ppm,468 ppm,,,,18/10/2021 07:00:29 p. m.
399,,26.5 °C,19.6 °C,16.7 °C,55.2 %,1 ppm,471 ppm,,,,18/10/2021 07:01:29 p. m.
400,,26.5 °C,19.6 °C,16.7 °C,55.1 %,1 ppm,472 ppm,,,,18/10/2021 07:02:29 p. m.
401,,26.5 °C,19.6 °C,16.7 °C,55.2 %,1 ppm,471 ppm,,,,18/10/2021 07:03:29 p. m.
402,,26.5 °C,19.6 °C,16.8 °C,55.4 %,1 ppm,475 ppm,,,,18/10/2021 07:04:29 p. m.
403,,26.5 °C,19.6 °C,16.8 °C,55.5 %,1 ppm,465 ppm,,,,18/10/2021 07:05:29 p. m.
404,,26.5 °C,19.6 °C,16.7 °C,55.1 %,1 ppm,469 ppm,,,,18/10/2021 07:06:29 p. m.
405,,26.5 °C,19.6 °C,16.7 °C,55.1 %,1 ppm,474 ppm,,,,18/10/2021 07:07:29 p. m.
406,,26.5 °C,19.6 °C,16.7 °C,55.2 %,1 ppm,481 ppm,,,,18/10/2021 07:08:29 p. m.
407,,26.5 °C,19.6 °C,16.8 °C,55.6 %,1 ppm,466 ppm,,,,18/10/2021 07:09:29 p. m.
