Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,429 ppm,,,,13/09/2021 01:21:40 p. m.
2,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,429 ppm,,,,13/09/2021 01:21:41 p. m.
3,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,429 ppm,,,,13/09/2021 01:21:42 p. m.
4,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,429 ppm,,,,13/09/2021 01:21:43 p. m.
5,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,429 ppm,,,,13/09/2021 01:21:44 p. m.
6,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,430 ppm,,,,13/09/2021 01:21:45 p. m.
7,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,430 ppm,,,,13/09/2021 01:21:46 p. m.
8,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,430 ppm,,,,13/09/2021 01:21:47 p. m.
9,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,430 ppm,,,,13/09/2021 01:21:48 p. m.
10,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,428 ppm,,,,13/09/2021 01:21:49 p. m.
11,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,428 ppm,,,,13/09/2021 01:21:50 p. m.
12,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,430 ppm,,,,13/09/2021 01:21:51 p. m.
13,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,430 ppm,,,,13/09/2021 01:21:52 p. m.
14,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,433 ppm,,,,13/09/2021 01:21:53 p. m.
15,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,433 ppm,,,,13/09/2021 01:21:54 p. m.
16,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,437 ppm,,,,13/09/2021 01:21:55 p. m.
17,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,437 ppm,,,,13/09/2021 01:21:56 p. m.
18,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,437 ppm,,,,13/09/2021 01:21:57 p. m.
19,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,438 ppm,,,,13/09/2021 01:21:58 p. m.
20,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,438 ppm,,,,13/09/2021 01:21:59 p. m.
21,,25.0 °C,21.4 °C,20.1 °C,74.4 %,0 ppm,438 ppm,,,,13/09/2021 01:22:00 p. m.
22,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,436 ppm,,,,13/09/2021 01:22:01 p. m.
23,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,436 ppm,,,,13/09/2021 01:22:02 p. m.
24,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,433 ppm,,,,13/09/2021 01:22:03 p. m.
25,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,433 ppm,,,,13/09/2021 01:22:04 p. m.
26,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,433 ppm,,,,13/09/2021 01:22:05 p. m.
27,,25.0 °C,21.4 °C,20.1 °C,74.4 %,1 ppm,433 ppm,,,,13/09/2021 01:22:06 p. m.
28,,25.0 °C,21.4 °C,20.1 °C,74.4 %,0 ppm,432 ppm,,,,13/09/2021 01:22:07 p. m.
29,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,432 ppm,,,,13/09/2021 01:22:08 p. m.
30,,25.0 °C,21.4 °C,20.1 °C,74.5 %,0 ppm,432 ppm,,,,13/09/2021 01:22:09 p. m.
31,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,432 ppm,,,,13/09/2021 01:22:10 p. m.
32,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,432 ppm,,,,13/09/2021 01:22:11 p. m.
33,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,432 ppm,,,,13/09/2021 01:22:12 p. m.
34,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,433 ppm,,,,13/09/2021 01:22:13 p. m.
35,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,433 ppm,,,,13/09/2021 01:22:14 p. m.
36,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,431 ppm,,,,13/09/2021 01:22:15 p. m.
37,,25.0 °C,21.4 °C,20.1 °C,74.5 %,0 ppm,431 ppm,,,,13/09/2021 01:22:16 p. m.
38,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,427 ppm,,,,13/09/2021 01:22:17 p. m.
39,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,427 ppm,,,,13/09/2021 01:22:18 p. m.
40,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,426 ppm,,,,13/09/2021 01:22:19 p. m.
41,,25.0 °C,21.4 °C,20.1 °C,74.5 %,0 ppm,426 ppm,,,,13/09/2021 01:22:20 p. m.
42,,25.0 °C,21.4 °C,20.1 °C,74.5 %,1 ppm,428 ppm,,,,13/09/2021 01:22:21 p. m.
