Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
50,,28.8 °C,21.3 °C,18.4 °C,53.4 %,1 ppm,408 ppm,,,,30/07/2021 02:51:02 p. m.
51,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,406 ppm,,,,30/07/2021 02:51:03 p. m.
52,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,406 ppm,,,,30/07/2021 02:51:04 p. m.
53,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,408 ppm,,,,30/07/2021 02:51:05 p. m.
54,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,408 ppm,,,,30/07/2021 02:51:06 p. m.
55,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,410 ppm,,,,30/07/2021 02:51:07 p. m.
56,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,410 ppm,,,,30/07/2021 02:51:08 p. m.
57,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,410 ppm,,,,30/07/2021 02:51:09 p. m.
58,,28.8 °C,21.2 °C,18.3 °C,53.5 %,1 ppm,410 ppm,,,,30/07/2021 02:51:10 p. m.
59,,28.9 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:51:11 p. m.
60,,28.9 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:51:12 p. m.
61,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,408 ppm,,,,30/07/2021 02:51:13 p. m.
62,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,408 ppm,,,,30/07/2021 02:51:14 p. m.
63,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,408 ppm,,,,30/07/2021 02:51:15 p. m.
64,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,408 ppm,,,,30/07/2021 02:51:16 p. m.
65,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:51:17 p. m.
66,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:51:18 p. m.
67,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,410 ppm,,,,30/07/2021 02:51:19 p. m.
68,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,410 ppm,,,,30/07/2021 02:51:20 p. m.
69,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,412 ppm,,,,30/07/2021 02:51:21 p. m.
70,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,412 ppm,,,,30/07/2021 02:51:22 p. m.
71,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,414 ppm,,,,30/07/2021 02:51:23 p. m.
72,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,414 ppm,,,,30/07/2021 02:51:24 p. m.
73,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,416 ppm,,,,30/07/2021 02:51:25 p. m.
74,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,416 ppm,,,,30/07/2021 02:51:26 p. m.
75,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,416 ppm,,,,30/07/2021 02:51:27 p. m.
76,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,416 ppm,,,,30/07/2021 02:51:28 p. m.
77,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,419 ppm,,,,30/07/2021 02:51:29 p. m.
78,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,419 ppm,,,,30/07/2021 02:51:30 p. m.
79,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,421 ppm,,,,30/07/2021 02:51:31 p. m.
