Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
50,,25.2 °C,16.2 °C,11.5 °C,42.6 %,1 ppm,454 ppm,,,,03/11/2021 02:25:25 p. m.
51,,25.2 °C,16.2 °C,11.4 °C,42.3 %,1 ppm,471 ppm,,,,03/11/2021 02:26:25 p. m.
52,,25.2 °C,16.3 °C,11.6 °C,42.8 %,1 ppm,482 ppm,,,,03/11/2021 02:27:25 p. m.
53,,25.2 °C,16.2 °C,11.5 °C,42.6 %,1 ppm,499 ppm,,,,03/11/2021 02:28:25 p. m.
54,,25.2 °C,16.3 °C,11.7 °C,43.0 %,1 ppm,494 ppm,,,,03/11/2021 02:29:25 p. m.
55,,25.2 °C,16.4 °C,11.8 °C,43.3 %,1 ppm,491 ppm,,,,03/11/2021 02:30:25 p. m.
56,,25.2 °C,16.4 °C,11.8 °C,43.4 %,0 ppm,495 ppm,,,,03/11/2021 02:31:25 p. m.
57,,25.2 °C,16.4 °C,11.8 °C,43.4 %,1 ppm,480 ppm,,,,03/11/2021 02:32:25 p. m.
58,,25.3 °C,16.5 °C,11.9 °C,43.3 %,1 ppm,484 ppm,,,,03/11/2021 02:33:25 p. m.
59,,25.3 °C,16.5 °C,11.9 °C,43.4 %,1 ppm,489 ppm,,,,03/11/2021 02:34:25 p. m.
60,,25.3 °C,16.5 °C,12.0 °C,43.6 %,1 ppm,484 ppm,,,,03/11/2021 02:35:25 p. m.
61,,25.3 °C,16.5 °C,12.0 °C,43.8 %,1 ppm,484 ppm,,,,03/11/2021 02:36:25 p. m.
62,,25.3 °C,16.5 °C,12.0 °C,43.6 %,1 ppm,478 ppm,,,,03/11/2021 02:37:25 p. m.
63,,25.3 °C,16.5 °C,12.0 °C,43.6 %,0 ppm,481 ppm,,,,03/11/2021 02:38:25 p. m.
64,,25.3 °C,16.6 °C,12.1 °C,44.0 %,1 ppm,487 ppm,,,,03/11/2021 02:39:25 p. m.
65,,25.3 °C,16.6 °C,12.1 °C,43.9 %,0 ppm,474 ppm,,,,03/11/2021 02:40:25 p. m.
66,,25.3 °C,16.5 °C,12.0 °C,43.8 %,0 ppm,477 ppm,,,,03/11/2021 02:41:25 p. m.
67,,25.3 °C,16.6 °C,12.1 °C,44.0 %,1 ppm,469 ppm,,,,03/11/2021 02:42:25 p. m.
68,,25.3 °C,16.5 °C,12.0 °C,43.8 %,1 ppm,460 ppm,,,,03/11/2021 02:43:25 p. m.
69,,25.3 °C,16.6 °C,12.1 °C,43.9 %,0 ppm,472 ppm,,,,03/11/2021 02:44:25 p. m.
70,,25.3 °C,16.6 °C,12.1 °C,43.9 %,1 ppm,469 ppm,,,,03/11/2021 02:45:25 p. m.
71,,25.3 °C,16.6 °C,12.1 °C,43.9 %,1 ppm,471 ppm,,,,03/11/2021 02:46:25 p. m.
72,,25.3 °C,16.6 °C,12.1 °C,44.0 %,1 ppm,465 ppm,,,,03/11/2021 02:47:25 p. m.
73,,25.3 °C,16.6 °C,12.2 °C,44.1 %,1 ppm,475 ppm,,,,03/11/2021 02:48:25 p. m.
74,,25.3 °C,16.6 °C,12.1 °C,44.0 %,1 ppm,469 ppm,,,,03/11/2021 02:49:25 p. m.
75,,25.3 °C,16.6 °C,12.1 °C,44.0 %,1 ppm,468 ppm,,,,03/11/2021 02:50:25 p. m.
76,,25.3 °C,16.6 °C,12.2 °C,44.2 %,1 ppm,472 ppm,,,,03/11/2021 02:51:25 p. m.
77,,25.3 °C,16.6 °C,12.2 °C,44.2 %,1 ppm,461 ppm,,,,03/11/2021 02:52:25 p. m.
78,,25.3 °C,16.6 °C,12.2 °C,44.2 %,0 ppm,451 ppm,,,,03/11/2021 02:53:25 p. m.
79,,25.3 °C,16.6 °C,12.2 °C,44.2 %,1 ppm,456 ppm,,,,03/11/2021 02:54:25 p. m.
80,,25.3 °C,16.6 °C,12.2 °C,44.2 %,1 ppm,454 ppm,,,,03/11/2021 02:55:25 p. m.
81,,25.3 °C,16.6 °C,12.2 °C,44.1 %,1 ppm,474 ppm,,,,03/11/2021 02:56:25 p. m.
82,,25.3 °C,16.5 °C,12.0 °C,43.8 %,0 ppm,466 ppm,,,,03/11/2021 02:57:25 p. m.
83,,25.4 °C,16.8 °C,12.4 °C,44.5 %,1 ppm,469 ppm,,,,03/11/2021 02:58:25 p. m.
