,fluke,s8lp,sen0220,scd30
2021-09-29 20:00:00,679.0,694.0,658.0,668.0
2021-09-29 20:00:20,673.0,694.0,659.0,668.0
2021-09-29 20:00:40,680.0,694.0,659.0,667.0
2021-09-29 20:01:00,680.0,694.0,659.0,668.0
2021-09-29 20:01:20,670.0,694.0,658.0,668.0
2021-09-29 20:01:40,668.0,694.0,659.0,669.0
2021-09-29 20:02:00,662.0,695.0,659.0,670.0
2021-09-29 20:02:20,667.0,695.0,661.0,669.0
2021-09-29 20:02:40,670.0,694.0,660.0,670.0
2021-09-29 20:03:00,677.0,694.0,660.0,671.0
2021-09-29 20:03:20,685.0,694.0,659.0,671.0
2021-09-29 20:03:40,676.0,695.0,660.0,671.0
2021-09-29 20:04:00,670.0,695.0,659.0,672.0
2021-09-29 20:04:20,678.0,695.0,659.0,672.0
2021-09-29 20:04:40,674.0,695.0,661.0,671.0
2021-09-29 20:05:00,678.0,695.0,660.0,674.0
2021-09-29 20:05:20,676.0,694.0,661.0,673.0
2021-09-29 20:05:40,666.0,695.0,660.0,672.0
2021-09-29 20:06:00,673.0,695.0,660.0,671.0
2021-09-29 20:06:20,676.0,696.0,659.0,669.0
2021-09-29 20:06:40,681.0,695.0,659.0,670.0
2021-09-29 20:07:00,670.0,696.0,659.0,669.0
2021-09-29 20:07:20,664.0,696.0,658.0,669.0
2021-09-29 20:07:40,672.0,696.0,659.0,668.0
2021-09-29 20:08:00,666.0,695.0,660.0,667.0
2021-09-29 20:08:20,662.0,695.0,659.0,668.0
2021-09-29 20:08:40,662.0,696.0,659.0,666.0
2021-09-29 20:09:00,678.0,696.0,659.0,665.0
2021-09-29 20:09:20,678.0,696.0,660.0,665.0
2021-09-29 20:09:40,672.0,696.0,658.0,664.0
2021-09-29 20:10:00,665.0,696.0,657.0,663.0
2021-09-29 20:10:20,675.0,696.0,658.0,661.0
2021-09-29 20:10:40,687.0,696.0,659.0,663.0
2021-09-29 20:11:00,679.0,696.0,659.0,663.0
2021-09-29 20:11:20,676.0,696.0,660.0,663.0
2021-09-29 20:11:40,680.0,696.0,662.0,664.0
2021-09-29 20:12:00,673.0,696.0,660.0,660.0
2021-09-29 20:12:20,669.0,696.0,659.0,661.0
2021-09-29 20:12:40,682.0,695.0,659.0,661.0
2021-09-29 20:13:00,679.0,696.0,656.0,660.0
2021-09-29 20:13:20,663.0,696.0,659.0,659.0
2021-09-29 20:13:40,676.0,696.0,658.0,659.0
2021-09-29 20:14:00,694.0,696.0,657.0,658.0
2021-09-29 20:14:20,682.0,696.0,659.0,659.0
2021-09-29 20:14:40,675.0,696.0,658.0,660.0
2021-09-29 20:15:00,670.0,696.0,658.0,660.0
2021-09-29 20:15:20,670.0,696.0,659.0,662.0
2021-09-29 20:15:40,686.0,697.0,660.0,663.0
2021-09-29 20:16:00,683.0,697.0,660.0,664.0
2021-09-29 20:16:20,669.0,696.0,658.0,665.0
2021-09-29 20:16:40,663.0,697.0,659.0,665.0
2021-09-29 20:17:00,682.0,698.0,660.0,665.0
2021-09-29 20:17:20,687.0,697.0,659.0,666.0
2021-09-29 20:17:40,670.0,697.0,659.0,666.0
2021-09-29 20:18:00,674.0,697.0,660.0,666.0
2021-09-29 20:18:20,683.0,698.0,659.0,664.0
2021-09-29 20:18:40,669.0,697.0,661.0,665.0
2021-09-29 20:19:00,669.0,697.0,660.0,666.0
2021-09-29 20:19:20,676.0,697.0,663.0,665.0
2021-09-29 20:19:40,673.0,697.0,662.0,664.0
2021-09-29 20:20:00,674.0,697.0,661.0,664.0
2021-09-29 20:20:20,664.0,697.0,661.0,663.0
