ts,sen0220
2021-11-10 17:59:41.833,421.0
2021-11-10 17:58:41.831,420.0
2021-11-10 17:57:41.830,421.0
2021-11-10 17:56:41.862,421.0
2021-11-10 17:55:41.834,421.0
2021-11-10 17:54:41.830,421.0
2021-11-10 17:53:41.831,419.0
2021-11-10 17:52:41.832,420.0
2021-11-10 17:51:41.885,421.0
2021-11-10 17:50:41.833,420.0
2021-11-10 17:49:41.830,420.0
2021-11-10 17:48:41.838,420.0
2021-11-10 17:47:41.835,420.0
2021-11-10 17:46:41.835,419.0
2021-11-10 17:45:41.833,420.0
2021-11-10 17:44:41.835,420.0
2021-11-10 17:43:41.835,420.0
2021-11-10 17:42:42.837,420.0
2021-11-10 17:41:41.834,420.0
2021-11-10 17:40:41.838,420.0
2021-11-10 17:39:41.837,420.0
2021-11-10 17:38:41.870,421.0
2021-11-10 17:37:41.835,421.0
2021-11-10 17:36:41.832,420.0
2021-11-10 17:35:41.846,421.0
2021-11-10 17:34:41.836,421.0
2021-11-10 17:33:41.848,421.0
2021-11-10 17:32:41.836,422.0
2021-11-10 17:31:41.841,421.0
2021-11-10 17:30:41.837,420.0
2021-11-10 17:29:41.837,420.0
2021-11-10 17:28:41.851,422.0
2021-11-10 17:27:41.838,423.0
2021-11-10 17:26:41.852,422.0
2021-11-10 17:25:41.838,422.0
2021-11-10 17:24:41.841,422.0
2021-11-10 17:23:41.841,421.0
2021-11-10 17:22:41.840,421.0
2021-11-10 17:21:41.839,421.0
2021-11-10 17:20:41.837,421.0
2021-11-10 17:19:41.838,421.0
2021-11-10 17:18:41.842,421.0
2021-11-10 17:17:41.839,421.0
2021-11-10 17:16:41.841,422.0
2021-11-10 17:15:41.845,421.0
2021-11-10 17:14:41.841,422.0
2021-11-10 17:13:41.840,423.0
2021-11-10 17:12:41.840,423.0
2021-11-10 17:11:41.847,423.0
2021-11-10 17:10:41.850,423.0
2021-11-10 17:09:41.847,423.0
2021-11-10 17:08:41.850,422.0
2021-11-10 17:07:41.844,420.0
2021-11-10 17:06:41.845,418.0
2021-11-10 17:05:41.853,414.0
2021-11-10 17:04:41.846,409.0
2021-11-10 17:03:41.851,400.0
2021-11-10 17:02:41.848,395.0
2021-11-10 17:01:41.845,393.0
2021-11-10 17:00:41.846,393.0
2021-11-10 16:59:41.846,394.0
2021-11-10 16:58:41.858,393.0
2021-11-10 16:57:41.852,393.0
2021-11-10 16:56:41.855,394.0
2021-11-10 16:55:41.857,395.0
2021-11-10 16:54:41.850,394.0
2021-11-10 16:53:41.848,393.0
2021-11-10 16:52:41.853,393.0
2021-11-10 16:51:41.850,394.0
2021-11-10 16:50:41.849,394.0
2021-11-10 16:49:41.849,394.0
2021-11-10 16:48:41.877,394.0
2021-11-10 16:47:41.850,394.0
2021-11-10 16:46:41.854,394.0
2021-11-10 16:45:41.857,393.0
2021-11-10 16:44:41.858,393.0
2021-11-10 16:43:41.850,393.0
2021-11-10 16:42:41.859,394.0
2021-11-10 16:41:41.854,393.0
2021-11-10 16:40:41.858,394.0
2021-11-10 16:39:41.858,395.0
2021-11-10 16:38:41.858,395.0
2021-11-10 16:37:41.859,394.0
2021-11-10 16:36:41.856,394.0
2021-11-10 16:35:41.859,394.0
2021-11-10 16:34:41.858,396.0
2021-11-10 16:33:41.862,397.0
2021-11-10 16:32:41.857,400.0
2021-11-10 16:31:41.856,401.0
2021-11-10 16:30:41.854,400.0
2021-11-10 16:29:41.863,400.0
2021-11-10 16:28:41.864,400.0
2021-11-10 16:27:41.863,400.0
2021-11-10 16:26:41.856,400.0
2021-11-10 16:25:41.857,401.0
2021-11-10 16:24:41.862,400.0
2021-11-10 16:23:41.862,400.0
2021-11-10 16:22:41.864,401.0
2021-11-10 16:21:42.004,401.0
2021-11-10 16:20:41.865,401.0
2021-11-10 16:19:41.859,401.0
2021-11-10 16:18:41.859,401.0
2021-11-10 16:17:41.862,401.0
2021-11-10 16:16:41.863,401.0
2021-11-10 16:15:41.856,401.0
2021-11-10 16:14:41.860,401.0
2021-11-10 16:13:41.860,401.0
2021-11-10 16:12:41.860,401.0
2021-11-10 16:11:41.858,401.0
2021-11-10 16:10:41.856,403.0
2021-11-10 16:09:41.871,402.0
2021-11-10 16:08:41.869,402.0
2021-11-10 16:07:41.860,401.0
2021-11-10 16:06:41.862,403.0
2021-11-10 16:05:41.859,403.0
2021-11-10 16:04:41.862,402.0
2021-11-10 16:03:41.863,402.0
2021-11-10 16:02:41.866,402.0
2021-11-10 16:01:41.863,403.0
2021-11-10 16:00:41.863,403.0
2021-11-10 15:59:41.868,404.0
2021-11-10 15:58:41.873,403.0
2021-11-10 15:57:41.860,403.0
2021-11-10 15:56:41.863,403.0
2021-11-10 15:55:41.866,403.0
2021-11-10 15:54:41.864,403.0
2021-11-10 15:53:41.863,404.0
2021-11-10 15:52:41.867,405.0
2021-11-10 15:51:41.866,405.0
2021-11-10 15:50:41.870,405.0
2021-11-10 15:49:41.869,405.0
2021-11-10 15:48:41.872,405.0
2021-11-10 15:47:41.880,406.0
2021-11-10 15:46:41.872,406.0
2021-11-10 15:45:41.883,406.0
2021-11-10 15:44:41.874,406.0
2021-11-10 15:43:41.884,406.0
2021-11-10 15:42:41.872,406.0
2021-11-10 15:41:41.872,406.0
2021-11-10 15:40:41.890,406.0
2021-11-10 15:39:41.874,407.0
2021-11-10 15:38:41.877,406.0
2021-11-10 15:37:41.871,407.0
2021-11-10 15:36:41.874,408.0
2021-11-10 15:35:41.874,410.0
2021-11-10 15:34:41.880,410.0
2021-11-10 15:33:41.879,410.0
2021-11-10 15:32:41.876,409.0
2021-11-10 15:31:41.881,410.0
2021-11-10 15:30:41.877,410.0
2021-11-10 15:29:41.873,411.0
2021-11-10 15:28:41.883,411.0
2021-11-10 15:27:41.883,410.0
2021-11-10 15:26:41.878,410.0
2021-11-10 15:25:41.878,412.0
2021-11-10 15:24:41.877,412.0
2021-11-10 15:23:41.873,412.0
2021-11-10 15:22:41.874,412.0
2021-11-10 15:21:41.873,412.0
2021-11-10 15:20:41.882,412.0
2021-11-10 15:19:41.894,413.0
