ts,s8lp,sen0220,t3022,scd30
2021-07-20 15:06:55.967,890.0,,,
2021-07-20 15:06:57.146,,821.0,,
2021-07-20 15:07:07.616,,,,840.0
2021-07-20 15:07:14.454,,,935.0,
2021-07-20 15:07:55.900,891.0,,,
2021-07-20 15:07:57.210,,822.0,,
2021-07-20 15:08:10.691,,,,845.0
2021-07-20 15:08:14.411,,,936.0,
2021-07-20 15:08:55.831,893.0,,,
2021-07-20 15:08:57.281,,824.0,,
2021-07-20 15:09:13.766,,,,849.0
2021-07-20 15:09:14.389,,,936.0,
2021-07-20 15:09:55.744,894.0,,,
2021-07-20 15:09:57.353,,825.0,,
2021-07-20 15:10:14.403,,,939.0,
2021-07-20 15:10:16.841,,,,852.0
2021-07-20 15:10:55.666,893.0,,,
2021-07-20 15:10:57.423,,822.0,,
2021-07-20 15:11:14.418,,,944.0,
2021-07-20 15:11:19.917,,,,851.0
2021-07-20 15:11:55.598,896.0,,,
2021-07-20 15:11:57.492,,827.0,,
2021-07-20 15:12:14.440,,,943.0,
2021-07-20 15:12:22.990,,,,838.0
2021-07-20 15:12:55.532,895.0,,,
2021-07-20 15:12:57.554,,825.0,,
2021-07-20 15:13:14.369,,,943.0,
2021-07-20 15:13:26.065,,,,832.0
2021-07-20 15:13:55.453,898.0,,,
2021-07-20 15:13:57.640,,827.0,,
2021-07-20 15:14:14.365,,,944.0,
2021-07-20 15:14:29.142,,,,843.0
2021-07-20 15:14:55.394,898.0,,,
2021-07-20 15:14:57.722,,828.0,,
2021-07-20 15:15:14.681,,,946.0,
2021-07-20 15:15:32.220,,,,849.0
2021-07-20 15:15:55.317,901.0,,,
2021-07-20 15:15:57.797,,829.0,,
2021-07-20 15:16:14.436,,,948.0,
2021-07-20 15:16:35.296,,,,849.0
2021-07-20 15:16:55.249,900.0,,,
2021-07-20 15:16:57.862,,827.0,,
2021-07-20 15:17:14.353,,,948.0,
2021-07-20 15:17:38.376,,,,850.0
2021-07-20 15:17:55.197,901.0,,,
2021-07-20 15:17:57.941,,826.0,,
2021-07-20 15:18:14.754,,,947.0,
2021-07-20 15:18:41.448,,,,853.0
2021-07-20 15:18:55.125,901.0,,,
2021-07-20 15:18:58.005,,831.0,,
2021-07-20 15:19:14.860,,,947.0,
2021-07-20 15:19:44.524,,,,838.0
2021-07-20 15:19:55.072,900.0,,,
2021-07-20 15:19:58.072,,830.0,,
2021-07-20 15:20:14.926,,,951.0,
2021-07-20 15:20:47.603,,,,844.0
2021-07-20 15:20:55.006,900.0,,,
2021-07-20 15:20:58.125,,830.0,,
2021-07-20 15:21:14.377,,,950.0,
2021-07-20 15:21:50.678,,,,848.0
2021-07-20 15:21:54.927,900.0,,,
2021-07-20 15:21:58.188,,829.0,,
2021-07-20 15:22:14.298,,,948.0,
2021-07-20 15:22:53.756,,,,850.0
2021-07-20 15:22:54.852,899.0,,,
2021-07-20 15:22:58.246,,832.0,,
2021-07-20 15:23:14.388,,,946.0,
2021-07-20 15:23:54.776,901.0,,,
2021-07-20 15:23:56.831,,,,854.0
2021-07-20 15:23:58.310,,831.0,,
2021-07-20 15:24:15.209,,,946.0,
2021-07-20 15:24:54.704,901.0,,,
2021-07-20 15:24:58.373,,833.0,,
2021-07-20 15:24:59.911,,,,843.0
2021-07-20 15:25:14.509,,,949.0,
2021-07-20 15:25:54.620,904.0,,,
2021-07-20 15:25:58.417,,832.0,,
2021-07-20 15:26:02.981,,,,841.0
2021-07-20 15:26:14.328,,,949.0,
2021-07-20 15:26:54.549,903.0,,,
2021-07-20 15:26:58.497,,833.0,,
2021-07-20 15:27:06.055,,,,855.0
2021-07-20 15:27:15.062,,,949.0,
2021-07-20 15:27:54.467,903.0,,,
2021-07-20 15:27:58.567,,834.0,,
2021-07-20 15:28:09.133,,,,864.0
