ts,s8lp
2021-09-23 18:59:58.550,1096.0
2021-09-23 18:59:53.684,1096.0
2021-09-23 18:59:48.550,1096.0
2021-09-23 18:59:43.550,1096.0
2021-09-23 18:59:38.551,1096.0
2021-09-23 18:59:33.685,1096.0
2021-09-23 18:59:28.551,1096.0
2021-09-23 18:59:23.552,1096.0
2021-09-23 18:59:18.550,1096.0
2021-09-23 18:59:13.686,1096.0
2021-09-23 18:59:08.551,1096.0
2021-09-23 18:59:03.552,1096.0
2021-09-23 18:58:58.551,1096.0
2021-09-23 18:58:53.685,1096.0
2021-09-23 18:58:48.552,1096.0
2021-09-23 18:58:43.550,1096.0
2021-09-23 18:58:38.552,1096.0
2021-09-23 18:58:33.685,1096.0
2021-09-23 18:58:28.550,1096.0
2021-09-23 18:58:23.551,1096.0
2021-09-23 18:58:18.550,1095.0
2021-09-23 18:58:13.685,1096.0
2021-09-23 18:58:08.550,1096.0
2021-09-23 18:58:03.551,1095.0
2021-09-23 18:57:58.561,1096.0
2021-09-23 18:57:53.685,1095.0
2021-09-23 18:57:48.550,1096.0
2021-09-23 18:57:43.552,1095.0
2021-09-23 18:57:38.550,1095.0
2021-09-23 18:57:33.685,1096.0
2021-09-23 18:57:28.551,1096.0
2021-09-23 18:57:23.551,1096.0
2021-09-23 18:57:18.551,1096.0
2021-09-23 18:57:13.684,1096.0
2021-09-23 18:57:08.551,1095.0
2021-09-23 18:57:03.550,1096.0
2021-09-23 18:56:58.551,1096.0
2021-09-23 18:56:53.686,1095.0
2021-09-23 18:56:48.551,1095.0
2021-09-23 18:56:43.551,1096.0
2021-09-23 18:56:38.550,1096.0
2021-09-23 18:56:33.684,1096.0
2021-09-23 18:56:28.550,1095.0
2021-09-23 18:56:23.549,1095.0
2021-09-23 18:56:18.549,1096.0
2021-09-23 18:56:13.683,1095.0
2021-09-23 18:56:08.554,1095.0
2021-09-23 18:56:03.548,1096.0
2021-09-23 18:55:58.548,1096.0
2021-09-23 18:55:53.682,1096.0
2021-09-23 18:55:48.548,1096.0
2021-09-23 18:55:43.548,1096.0
2021-09-23 18:55:38.549,1095.0
2021-09-23 18:55:33.682,1095.0
2021-09-23 18:55:28.548,1095.0
2021-09-23 18:55:23.550,1095.0
2021-09-23 18:55:18.548,1095.0
2021-09-23 18:55:13.682,1095.0
2021-09-23 18:55:08.546,1095.0
2021-09-23 18:55:03.548,1096.0
2021-09-23 18:54:58.547,1095.0
2021-09-23 18:54:53.682,1096.0
2021-09-23 18:54:48.550,1096.0
2021-09-23 18:54:43.547,1096.0
2021-09-23 18:54:38.547,1095.0
2021-09-23 18:54:33.685,1096.0
2021-09-23 18:54:28.548,1095.0
2021-09-23 18:54:23.548,1095.0
2021-09-23 18:54:18.548,1095.0
2021-09-23 18:54:13.682,1095.0
2021-09-23 18:54:08.548,1095.0
2021-09-23 18:54:03.548,1095.0
2021-09-23 18:53:58.556,1095.0
2021-09-23 18:53:53.683,1096.0
2021-09-23 18:53:48.549,1097.0
2021-09-23 18:53:43.548,1097.0
2021-09-23 18:53:38.547,1097.0
2021-09-23 18:53:33.685,1097.0
2021-09-23 18:53:28.547,1096.0
2021-09-23 18:53:23.547,1095.0
2021-09-23 18:53:18.548,1095.0
2021-09-23 18:53:13.683,1095.0
2021-09-23 18:53:08.548,1096.0
2021-09-23 18:53:03.548,1095.0
2021-09-23 18:52:58.547,1095.0
2021-09-23 18:52:53.682,1096.0
2021-09-23 18:52:48.548,1095.0
2021-09-23 18:52:43.548,1095.0
2021-09-23 18:52:38.546,1095.0
2021-09-23 18:52:33.682,1095.0
2021-09-23 18:52:28.549,1095.0
2021-09-23 18:52:23.546,1095.0
2021-09-23 18:52:18.546,1095.0
2021-09-23 18:52:13.681,1095.0
2021-09-23 18:52:08.551,1095.0
2021-09-23 18:52:03.547,1095.0
2021-09-23 18:51:58.548,1095.0
2021-09-23 18:51:53.682,1095.0
2021-09-23 18:51:48.548,1096.0
2021-09-23 18:51:43.547,1095.0
2021-09-23 18:51:38.547,1096.0
2021-09-23 18:51:33.682,1096.0
2021-09-23 18:51:28.548,1096.0
2021-09-23 18:51:23.548,1096.0
2021-09-23 18:51:18.547,1095.0
2021-09-23 18:51:13.683,1095.0
2021-09-23 18:51:08.547,1095.0
2021-09-23 18:51:03.548,1095.0
2021-09-23 18:50:58.548,1095.0
2021-09-23 18:50:53.680,1095.0
2021-09-23 18:50:48.548,1095.0
2021-09-23 18:50:43.547,1095.0
2021-09-23 18:50:38.548,1095.0
2021-09-23 18:50:33.682,1095.0
2021-09-23 18:50:28.548,1094.0
2021-09-23 18:50:23.548,1094.0
2021-09-23 18:50:18.547,1095.0
2021-09-23 18:50:13.682,1095.0
2021-09-23 18:50:08.547,1095.0
2021-09-23 18:50:03.551,1095.0
2021-09-23 18:49:58.548,1095.0
2021-09-23 18:49:53.677,1095.0
2021-09-23 18:49:48.547,1096.0
2021-09-23 18:49:43.546,1096.0
2021-09-23 18:49:38.548,1096.0
2021-09-23 18:49:33.682,1095.0
2021-09-23 18:49:28.547,1095.0
2021-09-23 18:49:23.548,1095.0
2021-09-23 18:49:18.548,1095.0
2021-09-23 18:49:13.682,1094.0
2021-09-23 18:49:08.546,1095.0
2021-09-23 18:49:03.548,1095.0
2021-09-23 18:48:58.549,1095.0
2021-09-23 18:48:53.682,1095.0
2021-09-23 18:48:48.547,1095.0
2021-09-23 18:48:43.547,1095.0
2021-09-23 18:48:38.547,1094.0
2021-09-23 18:48:33.680,1095.0
2021-09-23 18:48:28.548,1094.0
2021-09-23 18:48:23.546,1093.0
2021-09-23 18:48:18.548,1093.0
2021-09-23 18:48:13.680,1093.0
2021-09-23 18:48:08.548,1094.0
2021-09-23 18:48:03.547,1093.0
2021-09-23 18:47:58.548,1093.0
2021-09-23 18:47:53.682,1094.0
2021-09-23 18:47:48.548,1094.0
2021-09-23 18:47:43.548,1094.0
2021-09-23 18:47:38.548,1093.0
2021-09-23 18:47:33.680,1093.0
2021-09-23 18:47:28.548,1093.0
2021-09-23 18:47:23.547,1093.0
2021-09-23 18:47:18.549,1093.0
2021-09-23 18:47:13.681,1093.0
2021-09-23 18:47:08.548,1093.0
2021-09-23 18:47:03.552,1093.0
2021-09-23 18:46:58.547,1093.0
2021-09-23 18:46:53.682,1093.0
2021-09-23 18:46:48.549,1093.0
2021-09-23 18:46:43.548,1092.0
2021-09-23 18:46:38.546,1093.0
2021-09-23 18:46:33.681,1092.0
2021-09-23 18:46:28.548,1093.0
2021-09-23 18:46:23.546,1093.0
2021-09-23 18:46:18.548,1093.0
2021-09-23 18:46:13.681,1093.0
2021-09-23 18:46:08.546,1093.0
2021-09-23 18:46:03.547,1093.0
2021-09-23 18:45:58.553,1093.0
2021-09-23 18:45:53.687,1093.0
2021-09-23 18:45:48.552,1093.0
2021-09-23 18:45:43.552,1092.0
2021-09-23 18:45:38.552,1093.0
2021-09-23 18:45:33.686,1093.0
2021-09-23 18:45:28.552,1093.0
2021-09-23 18:45:23.552,1092.0
2021-09-23 18:45:18.552,1092.0
2021-09-23 18:45:13.686,1092.0
2021-09-23 18:45:08.553,1092.0
2021-09-23 18:45:03.552,1092.0
2021-09-23 18:44:58.553,1092.0
2021-09-23 18:44:53.688,1092.0
2021-09-23 18:44:48.553,1092.0
2021-09-23 18:44:43.552,1092.0
2021-09-23 18:44:38.553,1092.0
2021-09-23 18:44:33.684,1092.0
2021-09-23 18:44:28.552,1092.0
2021-09-23 18:44:23.553,1092.0
2021-09-23 18:44:18.552,1092.0
2021-09-23 18:44:13.682,1092.0
2021-09-23 18:44:08.551,1092.0
2021-09-23 18:44:03.557,1092.0
2021-09-23 18:43:58.552,1092.0
2021-09-23 18:43:53.685,1092.0
2021-09-23 18:43:48.552,1093.0
2021-09-23 18:43:43.553,1093.0
2021-09-23 18:43:38.552,1092.0
2021-09-23 18:43:33.690,1093.0
2021-09-23 18:43:28.554,1093.0
2021-09-23 18:43:23.553,1093.0
2021-09-23 18:43:18.552,1093.0
2021-09-23 18:43:13.686,1093.0
2021-09-23 18:43:08.552,1093.0
2021-09-23 18:43:03.552,1092.0
2021-09-23 18:42:58.552,1092.0
2021-09-23 18:42:53.686,1091.0
2021-09-23 18:42:48.551,1092.0
2021-09-23 18:42:43.552,1092.0
2021-09-23 18:42:38.552,1092.0
2021-09-23 18:42:33.685,1092.0
2021-09-23 18:42:28.552,1091.0
2021-09-23 18:42:23.551,1092.0
2021-09-23 18:42:18.550,1091.0
2021-09-23 18:42:13.684,1091.0
2021-09-23 18:42:08.551,1091.0
2021-09-23 18:42:03.550,1090.0
2021-09-23 18:41:58.550,1090.0
2021-09-23 18:41:53.684,1090.0
2021-09-23 18:41:48.551,1089.0
2021-09-23 18:41:43.550,1090.0
2021-09-23 18:41:38.554,1090.0
2021-09-23 18:41:33.684,1090.0
2021-09-23 18:41:28.550,1090.0
2021-09-23 18:41:23.549,1090.0
2021-09-23 18:41:18.549,1090.0
2021-09-23 18:41:13.684,1091.0
2021-09-23 18:41:08.549,1092.0
2021-09-23 18:41:03.550,1092.0
2021-09-23 18:40:58.550,1092.0
2021-09-23 18:40:53.682,1091.0
2021-09-23 18:40:48.549,1091.0
2021-09-23 18:40:43.549,1090.0
2021-09-23 18:40:38.549,1090.0
2021-09-23 18:40:33.685,1089.0
2021-09-23 18:40:28.551,1088.0
2021-09-23 18:40:23.547,1088.0
2021-09-23 18:40:18.548,1088.0
2021-09-23 18:40:13.682,1088.0
2021-09-23 18:40:08.548,1088.0
2021-09-23 18:40:03.550,1088.0
2021-09-23 18:39:58.548,1088.0
2021-09-23 18:39:53.682,1088.0
2021-09-23 18:39:48.556,1087.0
2021-09-23 18:39:43.549,1087.0
2021-09-23 18:39:38.548,1087.0
2021-09-23 18:39:33.683,1087.0
2021-09-23 18:39:28.549,1087.0
2021-09-23 18:39:23.549,1087.0
2021-09-23 18:39:18.554,1087.0
2021-09-23 18:39:13.683,1087.0
2021-09-23 18:39:08.549,1087.0
2021-09-23 18:39:03.548,1087.0
2021-09-23 18:38:58.548,1087.0
2021-09-23 18:38:53.683,1087.0
2021-09-23 18:38:48.549,1087.0
2021-09-23 18:38:43.549,1087.0
2021-09-23 18:38:38.549,1087.0
2021-09-23 18:38:33.682,1087.0
2021-09-23 18:38:28.551,1087.0
2021-09-23 18:38:23.549,1087.0
2021-09-23 18:38:18.550,1087.0
2021-09-23 18:38:13.686,1087.0
2021-09-23 18:38:08.548,1087.0
2021-09-23 18:38:03.549,1087.0
2021-09-23 18:37:58.558,1087.0
2021-09-23 18:37:53.682,1087.0
2021-09-23 18:37:48.548,1087.0
2021-09-23 18:37:43.547,1087.0
2021-09-23 18:37:38.549,1087.0
2021-09-23 18:37:33.682,1087.0
2021-09-23 18:37:28.549,1087.0
2021-09-23 18:37:23.547,1087.0
2021-09-23 18:37:18.549,1087.0
2021-09-23 18:37:13.683,1087.0
2021-09-23 18:37:08.548,1088.0
2021-09-23 18:37:03.547,1088.0
2021-09-23 18:36:58.548,1088.0
2021-09-23 18:36:53.681,1088.0
2021-09-23 18:36:48.550,1087.0
2021-09-23 18:36:43.549,1088.0
2021-09-23 18:36:38.549,1088.0
2021-09-23 18:36:33.683,1088.0
2021-09-23 18:36:28.548,1088.0
2021-09-23 18:36:23.551,1088.0
2021-09-23 18:36:18.549,1088.0
2021-09-23 18:36:13.681,1088.0
2021-09-23 18:36:08.553,1088.0
2021-09-23 18:36:03.551,1088.0
2021-09-23 18:35:58.547,1088.0
2021-09-23 18:35:53.682,1088.0
2021-09-23 18:35:48.550,1088.0
2021-09-23 18:35:43.549,1088.0
2021-09-23 18:35:38.549,1088.0
2021-09-23 18:35:33.682,1088.0
2021-09-23 18:35:28.548,1088.0
2021-09-23 18:35:23.548,1088.0
2021-09-23 18:35:18.548,1088.0
2021-09-23 18:35:13.682,1088.0
2021-09-23 18:35:08.550,1087.0
2021-09-23 18:35:03.549,1087.0
2021-09-23 18:34:58.549,1087.0
2021-09-23 18:34:53.683,1087.0
2021-09-23 18:34:48.548,1087.0
2021-09-23 18:34:43.548,1087.0
2021-09-23 18:34:38.550,1087.0
2021-09-23 18:34:33.683,1087.0
2021-09-23 18:34:28.548,1087.0
2021-09-23 18:34:23.548,1087.0
2021-09-23 18:34:18.549,1087.0
2021-09-23 18:34:13.682,1087.0
2021-09-23 18:34:08.548,1087.0
2021-09-23 18:34:03.548,1087.0
2021-09-23 18:33:58.549,1088.0
2021-09-23 18:33:53.679,1088.0
2021-09-23 18:33:48.548,1088.0
2021-09-23 18:33:43.549,1088.0
2021-09-23 18:33:38.549,1088.0
2021-09-23 18:33:33.683,1088.0
2021-09-23 18:33:28.551,1088.0
2021-09-23 18:33:23.548,1087.0
2021-09-23 18:33:18.554,1088.0
2021-09-23 18:33:13.683,1088.0
2021-09-23 18:33:08.547,1089.0
2021-09-23 18:33:03.547,1088.0
2021-09-23 18:32:58.549,1088.0
2021-09-23 18:32:53.682,1088.0
2021-09-23 18:32:48.549,1089.0
2021-09-23 18:32:43.550,1089.0
2021-09-23 18:32:38.548,1089.0
2021-09-23 18:32:33.682,1089.0
2021-09-23 18:32:28.549,1089.0
2021-09-23 18:32:23.548,1089.0
2021-09-23 18:32:18.547,1089.0
2021-09-23 18:32:13.682,1090.0
2021-09-23 18:32:08.549,1089.0
2021-09-23 18:32:03.547,1089.0
2021-09-23 18:31:58.548,1090.0
2021-09-23 18:31:53.683,1090.0
2021-09-23 18:31:48.547,1090.0
2021-09-23 18:31:43.553,1090.0
2021-09-23 18:31:38.549,1090.0
2021-09-23 18:31:33.682,1089.0
2021-09-23 18:31:28.548,1089.0
2021-09-23 18:31:23.549,1089.0
2021-09-23 18:31:18.548,1089.0
2021-09-23 18:31:13.682,1088.0
2021-09-23 18:31:08.549,1087.0
2021-09-23 18:31:03.548,1087.0
2021-09-23 18:30:58.548,1088.0
2021-09-23 18:30:53.681,1087.0
2021-09-23 18:30:48.549,1087.0
2021-09-23 18:30:43.548,1087.0
2021-09-23 18:30:38.547,1088.0
2021-09-23 18:30:33.682,1088.0
2021-09-23 18:30:28.548,1088.0
2021-09-23 18:30:23.548,1088.0
2021-09-23 18:30:18.550,1089.0
2021-09-23 18:30:13.682,1089.0
2021-09-23 18:30:08.548,1088.0
2021-09-23 18:30:03.549,1089.0
2021-09-23 18:29:58.548,1088.0
2021-09-23 18:29:53.682,1088.0
2021-09-23 18:29:48.548,1088.0
2021-09-23 18:29:43.549,1088.0
2021-09-23 18:29:38.548,1087.0
2021-09-23 18:29:33.682,1088.0
2021-09-23 18:29:28.548,1087.0
2021-09-23 18:29:23.548,1087.0
2021-09-23 18:29:18.550,1087.0
2021-09-23 18:29:13.683,1087.0
2021-09-23 18:29:08.547,1087.0
2021-09-23 18:29:03.548,1087.0
2021-09-23 18:28:58.548,1087.0
2021-09-23 18:28:53.681,1085.0
2021-09-23 18:28:48.548,1084.0
2021-09-23 18:28:43.548,1084.0
2021-09-23 18:28:38.548,1084.0
2021-09-23 18:28:33.678,1084.0
2021-09-23 18:28:28.547,1084.0
2021-09-23 18:28:23.548,1084.0
2021-09-23 18:28:18.554,1084.0
2021-09-23 18:28:13.679,1084.0
2021-09-23 18:28:08.548,1086.0
2021-09-23 18:28:03.548,1086.0
2021-09-23 18:27:58.548,1085.0
2021-09-23 18:27:53.681,1085.0
2021-09-23 18:27:48.548,1083.0
2021-09-23 18:27:43.550,1083.0
2021-09-23 18:27:38.549,1082.0
2021-09-23 18:27:33.682,1083.0
2021-09-23 18:27:28.548,1083.0
2021-09-23 18:27:23.547,1082.0
2021-09-23 18:27:18.565,1082.0
2021-09-23 18:27:13.683,1082.0
2021-09-23 18:27:08.547,1083.0
2021-09-23 18:27:03.549,1084.0
2021-09-23 18:26:58.549,1084.0
2021-09-23 18:26:53.683,1084.0
2021-09-23 18:26:48.549,1085.0
2021-09-23 18:26:43.549,1085.0
2021-09-23 18:26:38.548,1084.0
2021-09-23 18:26:33.683,1084.0
2021-09-23 18:26:28.549,1084.0
2021-09-23 18:26:23.549,1085.0
2021-09-23 18:26:18.549,1085.0
2021-09-23 18:26:13.683,1085.0
2021-09-23 18:26:08.548,1085.0
2021-09-23 18:26:03.548,1086.0
2021-09-23 18:25:58.549,1085.0
2021-09-23 18:25:53.682,1086.0
2021-09-23 18:25:48.548,1084.0
2021-09-23 18:25:43.550,1083.0
2021-09-23 18:25:38.549,1083.0
2021-09-23 18:25:33.683,1083.0
2021-09-23 18:25:28.550,1084.0
2021-09-23 18:25:23.549,1084.0
2021-09-23 18:25:18.549,1085.0
2021-09-23 18:25:13.680,1084.0
2021-09-23 18:25:08.552,1084.0
2021-09-23 18:25:03.550,1084.0
2021-09-23 18:24:58.549,1084.0
2021-09-23 18:24:53.682,1084.0
2021-09-23 18:24:48.549,1084.0
2021-09-23 18:24:43.550,1084.0
2021-09-23 18:24:38.549,1085.0
2021-09-23 18:24:33.683,1084.0
2021-09-23 18:24:28.551,1084.0
2021-09-23 18:24:23.550,1083.0
2021-09-23 18:24:18.549,1082.0
2021-09-23 18:24:13.682,1082.0
2021-09-23 18:24:08.551,1081.0
2021-09-23 18:24:03.549,1082.0
2021-09-23 18:23:58.550,1082.0
2021-09-23 18:23:53.684,1082.0
2021-09-23 18:23:48.549,1081.0
2021-09-23 18:23:43.550,1081.0
2021-09-23 18:23:38.550,1081.0
2021-09-23 18:23:33.687,1082.0
2021-09-23 18:23:28.549,1081.0
2021-09-23 18:23:23.548,1081.0
2021-09-23 18:23:18.549,1081.0
2021-09-23 18:23:13.685,1081.0
2021-09-23 18:23:08.549,1081.0
2021-09-23 18:23:03.550,1082.0
2021-09-23 18:22:58.550,1082.0
2021-09-23 18:22:53.683,1082.0
2021-09-23 18:22:48.550,1082.0
2021-09-23 18:22:43.549,1082.0
2021-09-23 18:22:38.550,1082.0
2021-09-23 18:22:33.684,1083.0
2021-09-23 18:22:28.550,1083.0
2021-09-23 18:22:23.549,1083.0
2021-09-23 18:22:18.581,1082.0
2021-09-23 18:22:13.684,1082.0
2021-09-23 18:22:08.549,1081.0
2021-09-23 18:22:03.552,1081.0
2021-09-23 18:21:58.549,1081.0
2021-09-23 18:21:53.683,1081.0
2021-09-23 18:21:48.549,1080.0
2021-09-23 18:21:43.549,1080.0
2021-09-23 18:21:38.549,1080.0
2021-09-23 18:21:33.682,1080.0
2021-09-23 18:21:28.549,1080.0
2021-09-23 18:21:23.549,1080.0
2021-09-23 18:21:18.550,1081.0
2021-09-23 18:21:13.683,1081.0
2021-09-23 18:21:08.549,1080.0
2021-09-23 18:21:03.550,1080.0
2021-09-23 18:20:58.549,1080.0
2021-09-23 18:20:53.683,1079.0
2021-09-23 18:20:48.548,1079.0
2021-09-23 18:20:43.549,1079.0
2021-09-23 18:20:38.550,1079.0
2021-09-23 18:20:33.682,1079.0
2021-09-23 18:20:28.550,1079.0
2021-09-23 18:20:23.549,1079.0
2021-09-23 18:20:18.549,1079.0
2021-09-23 18:20:13.682,1079.0
2021-09-23 18:20:08.549,1078.0
2021-09-23 18:20:03.549,1079.0
2021-09-23 18:19:58.564,1078.0
2021-09-23 18:19:53.683,1078.0
2021-09-23 18:19:48.549,1079.0
2021-09-23 18:19:43.548,1080.0
2021-09-23 18:19:38.547,1079.0
2021-09-23 18:19:33.682,1079.0
2021-09-23 18:19:28.548,1078.0
2021-09-23 18:19:23.548,1078.0
2021-09-23 18:19:18.549,1078.0
2021-09-23 18:19:13.682,1078.0
2021-09-23 18:19:08.548,1078.0
2021-09-23 18:19:03.548,1078.0
2021-09-23 18:18:58.547,1078.0
2021-09-23 18:18:53.680,1078.0
2021-09-23 18:18:48.548,1080.0
2021-09-23 18:18:43.548,1079.0
2021-09-23 18:18:38.548,1080.0
2021-09-23 18:18:33.681,1080.0
2021-09-23 18:18:28.548,1080.0
2021-09-23 18:18:23.547,1080.0
2021-09-23 18:18:18.548,1081.0
2021-09-23 18:18:13.678,1081.0
2021-09-23 18:18:08.547,1081.0
2021-09-23 18:18:03.547,1081.0
2021-09-23 18:17:58.547,1081.0
2021-09-23 18:17:53.683,1081.0
2021-09-23 18:17:48.546,1081.0
2021-09-23 18:17:43.547,1081.0
2021-09-23 18:17:38.547,1082.0
2021-09-23 18:17:33.683,1082.0
2021-09-23 18:17:28.547,1082.0
2021-09-23 18:17:23.546,1082.0
2021-09-23 18:17:18.548,1083.0
2021-09-23 18:17:13.677,1083.0
2021-09-23 18:17:08.546,1083.0
2021-09-23 18:17:03.547,1082.0
2021-09-23 18:16:58.548,1083.0
2021-09-23 18:16:53.683,1083.0
2021-09-23 18:16:48.547,1082.0
2021-09-23 18:16:43.549,1082.0
2021-09-23 18:16:38.548,1081.0
2021-09-23 18:16:33.681,1082.0
2021-09-23 18:16:28.546,1081.0
2021-09-23 18:16:23.546,1081.0
2021-09-23 18:16:18.548,1081.0
2021-09-23 18:16:13.681,1081.0
2021-09-23 18:16:08.549,1080.0
2021-09-23 18:16:03.546,1080.0
2021-09-23 18:15:58.547,1080.0
2021-09-23 18:15:53.680,1078.0
2021-09-23 18:15:48.548,1078.0
2021-09-23 18:15:43.547,1078.0
2021-09-23 18:15:38.546,1078.0
2021-09-23 18:15:33.681,1078.0
2021-09-23 18:15:28.547,1078.0
2021-09-23 18:15:23.547,1077.0
2021-09-23 18:15:18.548,1077.0
2021-09-23 18:15:13.681,1077.0
2021-09-23 18:15:08.547,1077.0
2021-09-23 18:15:03.546,1076.0
2021-09-23 18:14:58.547,1076.0
2021-09-23 18:14:53.681,1077.0
2021-09-23 18:14:48.551,1078.0
2021-09-23 18:14:43.547,1078.0
2021-09-23 18:14:38.548,1079.0
2021-09-23 18:14:33.681,1080.0
2021-09-23 18:14:28.547,1080.0
2021-09-23 18:14:23.546,1080.0
2021-09-23 18:14:18.547,1080.0
2021-09-23 18:14:13.680,1081.0
2021-09-23 18:14:08.546,1081.0
2021-09-23 18:14:03.547,1081.0
2021-09-23 18:13:58.548,1081.0
2021-09-23 18:13:53.681,1080.0
2021-09-23 18:13:48.547,1080.0
2021-09-23 18:13:43.547,1079.0
2021-09-23 18:13:38.547,1079.0
2021-09-23 18:13:33.683,1079.0
2021-09-23 18:13:28.546,1079.0
2021-09-23 18:13:23.548,1079.0
2021-09-23 18:13:18.546,1078.0
2021-09-23 18:13:13.680,1078.0
2021-09-23 18:13:08.547,1079.0
2021-09-23 18:13:03.546,1078.0
2021-09-23 18:12:58.546,1078.0
2021-09-23 18:12:53.678,1078.0
2021-09-23 18:12:48.547,1078.0
2021-09-23 18:12:43.546,1078.0
2021-09-23 18:12:38.547,1078.0
2021-09-23 18:12:33.682,1078.0
2021-09-23 18:12:28.547,1078.0
2021-09-23 18:12:23.546,1078.0
2021-09-23 18:12:18.547,1078.0
2021-09-23 18:12:13.677,1078.0
2021-09-23 18:12:08.545,1078.0
2021-09-23 18:12:03.547,1078.0
2021-09-23 18:11:58.546,1078.0
2021-09-23 18:11:53.679,1078.0
2021-09-23 18:11:48.547,1079.0
2021-09-23 18:11:43.547,1078.0
2021-09-23 18:11:38.548,1078.0
2021-09-23 18:11:33.681,1078.0
2021-09-23 18:11:28.546,1078.0
2021-09-23 18:11:23.545,1078.0
2021-09-23 18:11:18.547,1077.0
2021-09-23 18:11:13.679,1077.0
2021-09-23 18:11:08.545,1077.0
2021-09-23 18:11:03.547,1078.0
2021-09-23 18:10:58.546,1077.0
2021-09-23 18:10:53.680,1077.0
2021-09-23 18:10:48.546,1077.0
2021-09-23 18:10:43.547,1077.0
2021-09-23 18:10:38.545,1077.0
2021-09-23 18:10:33.679,1078.0
2021-09-23 18:10:28.547,1077.0
2021-09-23 18:10:23.545,1077.0
2021-09-23 18:10:18.546,1077.0
2021-09-23 18:10:13.680,1076.0
2021-09-23 18:10:08.545,1077.0
2021-09-23 18:10:03.545,1077.0
2021-09-23 18:09:58.545,1077.0
2021-09-23 18:09:53.680,1076.0
2021-09-23 18:09:48.546,1076.0
2021-09-23 18:09:43.545,1076.0
2021-09-23 18:09:38.545,1076.0
2021-09-23 18:09:33.678,1076.0
2021-09-23 18:09:28.544,1075.0
2021-09-23 18:09:23.545,1075.0
2021-09-23 18:09:18.545,1076.0
2021-09-23 18:09:13.679,1076.0
2021-09-23 18:09:08.544,1077.0
2021-09-23 18:09:03.544,1077.0
2021-09-23 18:08:58.546,1077.0
2021-09-23 18:08:53.678,1077.0
2021-09-23 18:08:48.545,1077.0
2021-09-23 18:08:43.546,1077.0
2021-09-23 18:08:38.547,1077.0
2021-09-23 18:08:33.679,1077.0
2021-09-23 18:08:28.545,1076.0
2021-09-23 18:08:23.545,1075.0
2021-09-23 18:08:18.544,1075.0
2021-09-23 18:08:13.679,1074.0
2021-09-23 18:08:08.544,1074.0
